seconds,travel,recoveries,x,y,z,safeStation,speed
2.48,-0.22,0,560.96,27.57,-286.90,3739.10,-0.11
2.49,-0.22,0,560.96,27.57,-286.91,3739.10,-0.11
2.51,-0.22,0,560.96,27.57,-286.91,3739.10,-0.11
2.53,-0.22,0,560.96,27.57,-286.91,3739.07,-0.11
2.54,-0.23,0,560.96,27.57,-286.91,3739.07,-0.11
2.56,-0.23,0,560.96,27.57,-286.91,3739.07,-0.11
2.58,-0.23,0,560.96,27.57,-286.92,3739.07,-0.11
2.59,-0.23,0,560.96,27.57,-286.92,3739.07,-0.11
2.61,-0.23,0,560.96,27.57,-286.92,3739.07,-0.11
2.63,-0.24,0,560.96,27.57,-286.92,3739.07,-0.11
2.64,-0.24,0,560.96,27.57,-286.92,3739.07,-0.11
2.66,-0.24,0,560.96,27.57,-286.92,3739.07,-0.11
2.68,-0.24,0,560.96,27.57,-286.93,3739.07,-0.11
2.73,-0.25,0,560.96,27.57,-286.93,3739.07,-0.11
2.75,-0.25,0,560.96,27.57,-286.94,3739.07,-0.11
2.77,-0.25,0,560.96,27.57,-286.94,3739.07,-0.11
2.78,-0.25,0,560.96,27.57,-286.94,3739.04,-0.11
2.80,-0.25,0,560.96,27.57,-286.94,3739.04,-0.11
2.82,-0.25,0,560.96,27.57,-286.94,3739.04,-0.11
2.83,-0.26,0,560.96,27.57,-286.94,3739.04,-0.11
2.85,-0.26,0,560.96,27.57,-286.95,3739.04,-0.11
2.87,-0.26,0,560.96,27.57,-286.95,3739.04,-0.11
2.88,-0.26,0,560.96,27.57,-286.95,3739.04,-0.11
2.90,-0.26,0,560.96,27.57,-286.95,3739.04,-0.11
2.92,-0.27,0,560.96,27.57,-286.95,3739.04,-0.11
2.94,-0.27,0,560.96,27.57,-286.95,3739.04,-0.11
2.96,-0.27,0,560.96,27.57,-286.96,3739.04,-0.11
2.98,-0.27,0,560.96,27.57,-286.96,3739.04,-0.11
3.00,-0.27,0,560.96,27.57,-286.96,3739.04,-0.11
3.01,-0.28,0,560.96,27.57,-286.96,3739.04,-0.11
3.03,-0.28,0,560.96,27.57,-286.97,3739.04,-0.11
3.05,-0.28,0,560.96,27.57,-286.97,3739.01,-0.11
3.06,-0.28,0,560.96,27.57,-286.97,3739.01,-0.11
3.08,-0.28,0,560.96,27.57,-286.97,3739.01,-0.11
3.10,-0.29,0,560.96,27.57,-286.97,3739.01,-0.11
3.11,-0.29,0,560.96,27.57,-286.97,3739.01,-0.11
3.13,-0.29,0,560.96,27.57,-286.98,3739.01,-0.11
3.15,-0.29,0,560.96,27.57,-286.98,3739.01,-0.11
3.17,-0.29,0,560.96,27.57,-286.98,3739.01,-0.11
3.18,-0.30,0,560.96,27.57,-286.98,3739.01,-0.11
3.20,-0.30,0,560.96,27.57,-286.98,3739.01,-0.11
3.22,-0.30,0,560.96,27.57,-286.98,3739.01,-0.11
3.23,-0.30,0,560.96,27.56,-286.99,3739.01,-0.11
3.25,-0.30,0,560.96,27.56,-286.99,3739.01,-0.11
3.27,-0.30,0,560.96,27.56,-286.99,3739.01,-0.11
3.28,-0.31,0,560.96,27.56,-286.99,3739.01,-0.11
3.30,-0.31,0,560.96,27.56,-286.99,3739.01,-0.11
3.32,-0.31,0,560.96,27.56,-287.00,3738.98,-0.11
3.33,-0.31,0,560.96,27.56,-287.00,3738.98,-0.11
3.35,-0.31,0,560.96,27.56,-287.00,3738.98,-0.11
3.37,-0.32,0,560.96,27.56,-287.00,3738.98,-0.11
3.38,-0.32,0,560.96,27.56,-287.00,3738.98,-0.11
3.42,-0.32,0,560.96,27.56,-287.01,3738.98,-0.11
3.43,-0.32,0,560.96,27.56,-287.01,3738.98,-0.11
3.45,-0.32,0,560.96,27.56,-287.01,3738.98,-0.11
3.47,-0.33,0,560.96,27.56,-287.01,3738.98,-0.11
3.48,-0.33,0,560.96,27.56,-287.02,3738.98,-0.11
3.50,-0.33,0,560.96,27.56,-287.02,3738.98,-0.11
3.52,-0.33,0,560.96,27.56,-287.02,3738.98,-0.11
3.53,-0.33,0,560.96,27.56,-287.02,3738.98,-0.11
3.55,-0.34,0,560.96,27.56,-287.02,3738.98,-0.11
3.57,-0.34,0,560.96,27.56,-287.02,3738.95,-0.11
