elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
49.929,14.336,False,0.270,0,0
50.045,14.443,False,0.270,0,0
50.162,14.571,False,0.270,0,0
50.263,14.677,False,0.270,0,0
50.368,14.763,False,0.270,0,0
50.469,14.869,False,0.270,0,0
50.585,14.997,False,0.270,0,0
50.702,15.104,False,0.270,0,0
50.819,15.232,False,0.270,0,0
50.935,15.360,False,0.270,0,0
51.052,15.445,False,0.270,0,0
51.156,15.552,False,0.270,0,0
51.273,15.680,False,0.270,0,0
51.389,15.787,False,0.270,0,0
51.506,15.893,False,0.270,0,0
51.606,16.000,False,0.270,0,0
51.723,16.128,False,0.270,0,0
51.839,16.235,False,0.270,0,0
51.940,16.341,False,0.270,0,0
52.056,16.469,False,0.270,0,0
52.174,16.576,False,0.270,0,0
52.290,16.683,False,0.270,0,0
52.407,16.811,False,0.270,0,0
52.508,16.917,False,0.270,0,0
52.624,17.024,False,0.270,0,0
52.742,17.152,False,0.270,0,0
52.858,17.280,False,0.270,0,0
52.959,17.365,False,0.270,0,0
53.059,17.472,False,0.270,0,0
53.159,17.579,False,0.270,0,0
53.276,17.685,False,0.270,0,0
53.378,17.771,False,0.270,0,0
53.495,17.899,False,0.270,0,0
53.596,18.005,False,0.270,0,0
53.698,18.091,False,0.270,0,0
53.803,18.197,False,0.270,0,0
53.915,18.325,False,0.270,0,0
54.031,18.432,False,0.270,0,0
54.148,18.560,False,0.270,0,0
54.264,18.667,False,0.270,0,0
54.381,18.773,False,0.270,0,0
54.481,18.880,False,0.270,0,0
54.598,18.987,False,0.270,0,0
54.715,19.115,False,0.270,0,0
54.831,19.221,False,0.270,0,0
54.948,19.349,False,0.270,0,0
55.049,19.456,False,0.270,0,0
55.150,19.541,False,0.270,0,0
55.267,19.669,False,0.270,0,0
55.384,19.797,False,0.270,0,0
55.500,19.904,False,0.270,0,0
55.601,19.989,False,0.270,0,0
55.702,20.096,False,0.270,0,0
55.817,20.224,False,0.270,0,0
55.918,20.309,False,0.270,0,0
56.035,20.437,False,0.270,0,0
56.152,20.565,False,0.270,0,0
56.269,20.672,False,0.270,0,0
56.385,20.779,False,0.270,0,0
56.502,20.907,False,0.270,0,0
56.604,20.992,False,0.270,0,0
56.722,21.120,False,0.270,0,0
56.838,21.227,False,0.270,0,0
56.939,21.333,False,0.270,0,0
57.055,21.440,False,0.270,0,0
57.172,21.568,False,0.270,0,0
57.272,21.675,False,0.270,0,0
57.388,21.781,False,0.270,0,0
57.505,21.909,False,0.270,0,0
57.622,22.037,False,0.270,0,0
57.738,22.144,False,0.270,0,0
57.839,22.251,False,0.270,0,0
57.956,22.379,False,0.270,0,0
58.072,22.464,False,0.270,0,0
58.172,22.549,False,0.270,0,0
58.289,22.677,False,0.270,0,0
58.406,22.805,False,0.270,0,0
58.522,22.912,False,0.270,0,0
58.630,23.040,False,0.270,0,0
58.756,23.168,False,0.270,0,0
58.871,23.275,False,0.270,0,0
58.972,23.381,False,0.270,0,0
59.088,23.488,False,0.270,0,0
59.205,23.616,False,0.270,0,0
59.322,23.701,False,0.270,0,0
59.438,23.829,False,0.270,0,0
59.555,23.957,False,0.270,0,0
59.672,24.064,False,0.270,0,0
59.773,24.171,False,0.270,0,0
59.890,24.299,False,0.270,0,0
60.006,24.405,False,0.270,0,0
60.123,24.533,False,0.270,0,0
60.240,24.640,False,0.270,0,0
60.340,24.747,False,0.270,0,0
60.457,24.853,False,0.270,0,0
60.557,24.960,False,0.270,0,0
60.673,25.088,False,0.270,0,0
60.790,25.195,False,0.270,0,0
60.907,25.323,False,0.270,0,0
61.023,25.429,False,0.270,0,0
61.140,25.536,False,0.270,0,0
61.257,25.643,False,0.270,0,0
61.374,25.771,False,0.270,0,0
61.491,25.899,False,0.270,0,0
61.607,26.005,False,0.270,0,0
61.708,26.112,False,0.270,0,0
61.824,26.240,False,0.270,0,0
61.941,26.347,False,0.270,0,0
62.058,26.453,False,0.270,0,0
62.174,26.581,False,0.270,0,0
62.291,26.688,False,0.270,0,0
62.408,26.795,False,0.270,0,0
62.508,26.901,False,0.270,0,0
62.613,27.029,False,0.270,0,0
62.715,27.115,False,0.270,0,0
62.831,27.243,False,0.270,0,0
62.948,27.349,False,0.270,0,0
63.065,27.456,False,0.270,0,0
63.166,27.584,False,0.270,0,0
63.283,27.669,False,0.270,0,0
63.400,27.797,False,0.270,0,0
63.516,27.925,False,0.270,0,0
63.617,28.011,False,0.270,0,0
63.733,28.139,False,0.270,0,0
63.850,28.245,False,0.270,0,0
63.966,28.373,False,0.270,0,0
64.068,28.480,False,0.270,0,0
64.175,28.565,False,0.270,0,0
64.292,28.693,False,0.270,0,0
64.408,28.800,False,0.270,0,0
64.518,28.928,False,0.270,0,0
64.635,29.035,False,0.270,0,0
64.752,29.163,False,0.270,0,0
64.869,29.269,False,0.270,0,0
64.985,29.376,False,0.270,0,0
65.102,29.504,False,0.270,0,0
65.219,29.611,False,0.270,0,0
65.319,29.717,False,0.270,0,0
65.436,29.845,False,0.270,0,0
65.554,29.952,False,0.270,0,0
65.656,30.059,False,0.270,0,0
65.757,30.144,False,0.270,0,0
65.874,30.272,False,0.270,0,0
65.990,30.400,False,0.270,0,0
66.091,30.485,False,0.270,0,0
66.207,30.613,False,0.270,0,0
66.324,30.720,False,0.270,0,0
66.425,30.827,False,0.270,0,0
66.525,30.933,False,0.270,0,0
66.641,31.040,False,0.270,0,0
66.758,31.168,False,0.270,0,0
66.875,31.275,False,0.270,0,0
66.991,0.021,False,0.270,0,0
67.093,0.149,False,0.270,0,0
67.195,0.235,False,0.270,0,0
67.299,0.341,False,0.270,0,0
67.408,0.448,False,0.270,0,0
67.516,0.555,False,0.270,0,0
67.621,0.661,False,0.270,0,0
67.733,0.789,False,0.270,0,0
67.836,0.875,False,0.270,0,0
67.940,0.981,False,0.270,0,0
68.057,1.109,False,0.270,0,0
68.174,1.216,False,0.270,0,0
68.291,1.323,False,0.270,0,0
68.407,1.451,False,0.270,0,0
68.524,1.579,False,0.270,0,0
68.641,1.685,False,0.270,0,0
68.757,1.792,False,0.270,0,0
68.868,1.920,False,0.270,0,0
68.988,2.027,False,0.270,0,0
69.091,2.133,False,0.270,0,0
69.208,2.240,False,0.270,0,0
69.325,2.368,False,0.270,0,0
69.441,2.475,False,0.270,0,0
69.558,2.603,False,0.270,0,0
69.674,2.709,False,0.270,0,0
69.791,2.837,False,0.270,0,0
69.908,2.965,False,0.270,0,0
70.025,3.072,False,0.270,0,0
70.141,3.179,False,0.270,0,0
70.258,3.285,False,0.270,0,0
70.359,3.392,False,0.270,0,0
70.459,3.499,False,0.270,0,0
70.562,3.605,False,0.270,0,0
70.665,3.712,False,0.270,0,0
70.781,3.840,False,0.270,0,0
70.885,3.925,False,0.270,0,0
71.001,4.053,False,0.270,0,0
71.118,4.160,False,0.270,0,0
71.218,4.267,False,0.270,0,0
71.335,4.373,False,0.270,0,0
71.452,4.501,False,0.270,0,0
71.569,4.608,False,0.270,0,0
71.685,4.715,False,0.270,0,0
71.802,4.843,False,0.270,0,0
71.919,4.949,False,0.270,0,0
72.035,5.077,False,0.270,0,0
72.152,5.205,False,0.270,0,0
72.269,5.312,False,0.270,0,0
72.369,5.419,False,0.270,0,0
72.471,5.504,False,0.270,0,0
72.572,5.611,False,0.270,0,0
72.688,5.739,False,0.270,0,0
72.789,5.824,False,0.270,0,0
72.905,5.952,False,0.270,0,0
73.022,6.080,False,0.270,0,0
73.138,6.187,False,0.270,0,0
73.258,6.315,False,0.270,0,0
73.375,6.400,False,0.270,0,0
73.491,6.528,False,0.270,0,0
73.608,6.656,False,0.270,0,0
73.711,6.741,False,0.270,0,0
73.827,6.869,False,0.270,0,0
73.927,6.955,False,0.270,0,0
74.029,7.061,False,0.270,0,0
74.145,7.189,False,0.270,0,0
74.262,7.296,False,0.270,0,0
74.379,7.424,False,0.270,0,0
74.496,7.531,False,0.270,0,0
74.612,7.659,False,0.270,0,0
74.729,7.787,False,0.270,0,0
74.846,7.893,False,0.270,0,0
74.946,8.000,False,0.270,0,0
75.063,8.107,False,0.270,0,0
75.179,8.213,False,0.270,0,0
75.280,8.320,False,0.270,0,0
75.397,8.427,False,0.270,0,0
75.499,8.555,False,0.270,0,0
75.602,8.640,False,0.270,0,0
75.720,8.768,False,0.270,0,0
75.837,8.896,False,0.270,0,0
75.953,9.003,False,0.270,0,0
76.070,9.109,False,0.270,0,0
76.187,9.216,False,0.270,0,0
76.304,9.344,False,0.270,0,0
76.420,9.451,False,0.270,0,0
76.521,9.557,False,0.270,0,0
76.640,9.685,False,0.270,0,0
76.746,9.792,False,0.270,0,0
76.847,9.899,False,0.270,0,0
76.964,10.005,False,0.270,0,0
77.080,10.112,False,0.270,0,0
77.181,10.219,False,0.270,0,0
77.297,10.325,False,0.270,0,0
77.414,10.453,False,0.270,0,0
77.530,10.560,False,0.270,0,0
77.647,10.688,False,0.270,0,0
77.748,10.795,False,0.270,0,0
77.864,10.901,False,0.270,0,0
77.965,11.008,False,0.270,0,0
78.065,11.115,False,0.270,0,0
78.165,11.200,False,0.270,0,0
78.282,11.328,False,0.270,0,0
78.399,11.435,False,0.270,0,0
78.515,11.563,False,0.270,0,0
78.632,11.669,False,0.270,0,0
78.734,11.776,False,0.270,0,0
78.834,11.883,False,0.270,0,0
78.951,11.989,False,0.270,0,0
79.068,12.117,False,0.270,0,0
79.185,12.224,False,0.270,0,0
79.301,12.331,False,0.270,0,0
79.419,12.459,False,0.270,0,0
79.520,12.544,False,0.270,0,0
79.621,12.651,False,0.270,0,0
79.721,12.779,False,0.270,0,0
