time,vehicle,lap,gate,speed,recoveries,misses,x,y,z,verified,finishArmed,roadPosition
120.600,moto,0,16,53.20,0,0,-212.78,9.30,527.30,4094.259,True,4094.259
120.600,atv,0,14,42.82,0,0,-628.93,9.46,413.04,3578.742,True,3578.742
122.600,tourer,0,15,37.07,0,0,-492.56,8.57,535.52,3814.755,True,3814.755
122.600,original,0,13,-13.13,0,0,-628.54,9.37,121.84,3287.845,True,3287.845
122.600,moto,0,17,48.36,0,0,-108.06,8.59,522.40,4199.066,True,4199.066
122.600,atv,0,14,36.35,0,0,-609.00,8.49,498.53,3667.125,True,3667.125
124.600,tourer,0,15,41.81,0,0,-413.23,8.98,532.73,3894.019,True,3894.019
124.600,original,0,13,-12.55,0,0,-628.89,9.47,147.50,3313.529,True,3313.529
124.600,moto,0,17,33.05,0,0,-28.87,8.37,522.73,4278.586,True,4278.586
124.600,atv,0,15,21.87,0,0,-594.26,8.61,537.92,3712.803,True,3712.803
126.600,tourer,0,16,44.49,0,0,-326.72,9.51,529.53,3980.529,True,3980.529
126.600,original,0,13,-11.99,0,0,-629.26,9.55,172.03,3338.068,True,3338.068
126.600,moto,0,17,25.98,0,0,30.13,8.51,524.28,4337.219,True,4337.219
126.600,atv,0,15,36.02,0,0,-536.10,8.59,538.29,3771.176,True,3771.176
128.600,tourer,0,16,46.10,0,0,-236.00,9.57,527.51,4071.187,True,4071.187
128.600,original,0,13,-11.46,0,0,-629.56,9.62,195.47,3361.525,True,3361.525
128.600,moto,0,17,26.56,0,0,80.34,9.54,536.21,4388.634,True,4388.634
128.600,atv,0,15,43.90,0,0,-455.36,8.57,534.13,3851.816,True,3851.816
130.600,tourer,0,17,47.13,0,0,-142.68,8.97,527.04,4164.475,True,4164.475
130.600,original,0,13,-10.97,0,0,-629.80,9.67,217.89,3383.956,True,3383.956
130.600,moto,0,0,26.61,0,0,133.38,9.62,540.31,4442.359,True,4442.359
130.600,atv,0,16,47.93,0,0,-363.10,9.16,530.81,3944.059,True,3944.059
132.600,tourer,0,17,47.69,0,0,-47.78,8.54,526.92,4259.381,True,4259.381
