time,x,y,z,speed,wheels,up,station,clearance,throttle,brake,steer
1.08,1177.982,152.4992,203.3632,16.51582,4,1,14.59031,0.1492462,1,0,-1.315853E-05
1.1,1177.66,152.4992,203.2716,16.77164,4,1,14.92569,0.1492004,1,0,-1.224678E-05
1.12,1177.332,152.4991,203.1786,17.02585,4,1,15.26615,0.1491547,1,0,-1.10994E-05
1.14,1177,152.4991,203.0843,17.27846,4,1,15.61168,0.1491241,1,0,-9.716386E-06
1.16,1176.662,152.4991,202.9885,17.52947,4,1,15.96229,0.1490936,1,0,-8.09774E-06
1.18,1176.32,152.4991,202.8914,17.77891,4,1,16.31785,0.1490631,1,0,-7.711345E-06
1.2,1175.974,152.499,202.793,18.02677,4,1,16.67836,0.1490479,1,0,-6.691543E-06
1.22,1175.622,152.499,202.6931,18.27307,4,1,17.04382,0.1490326,1,0,-5.038334E-06
1.24,1175.266,152.499,202.592,18.51782,4,1,17.41422,0.1490173,1,0,-4.219597E-06
1.26,1174.905,152.499,202.4895,18.76102,4,1,17.78944,0.1490021,1,0,-4.235334E-06
1.279999,1174.539,152.499,202.3857,19.0027,4,1,18.16949,0.1490021,1,0,-3.219888E-06
1.3,1174.169,152.499,202.2806,19.24285,4,1,18.55436,0.1490021,1,0,-2.641139E-06
1.32,1173.794,152.499,202.1742,19.48149,4,1,18.94405,0.1490021,1,0,-2.499086E-06
1.34,1173.415,152.499,202.0665,19.71863,4,1,19.33844,0.1490021,1,0,-2.793731E-06
1.36,1173.031,152.499,201.9575,19.95427,4,1,19.73752,0.1490021,1,0,-1.659415E-06
1.38,1172.642,152.499,201.8472,20.18843,4,1,20.1413,0.1490021,1,0,-5.640197E-07
1.399999,1172.249,152.499,201.7357,20.42111,4,1,20.54977,0.1490173,1,0,4.924549E-07
1.419999,1171.852,152.499,201.6229,20.65233,4,1,20.96281,0.1490326,1,0,4.212825E-08
1.439999,1171.45,152.499,201.5088,20.88209,4,1,21.38042,0.1490479,1,0,1.418538E-06
1.459999,1171.044,152.4991,201.3935,21.1104,4,1,21.8026,0.1490631,1,0,3.153804E-06
1.479999,1170.634,152.4991,201.277,21.33728,4,1,22.22935,0.1490784,1,0,5.247926E-06
1.5,1170.219,152.4991,201.1592,21.56273,4,1,22.66066,0.1490936,1,0,6.233023E-06
1.52,1169.799,152.4991,201.0402,21.78675,4,1,23.09641,0.1490936,1,0,6.109094E-06
1.539999,1169.376,152.4991,200.92,22.00937,4,1,23.53661,0.1490936,1,0,6.741799E-06
1.559999,1168.948,152.4991,200.7985,22.23058,4,1,23.98125,0.1490936,1,0,8.131135E-06
1.579999,1168.516,152.4991,200.6759,22.4504,4,1,24.4302,0.1490936,1,0,8.809223E-06
1.599999,1168.08,152.4991,200.5521,22.66883,4,1,24.8836,0.1490936,1,0,1.21096E-05
1.619999,1167.64,152.4991,200.4271,22.88589,4,1,25.34131,0.1490936,1,0,1.323085E-05
1.639999,1167.195,152.4991,200.3009,23.10158,4,1,25.80333,0.1490936,1,0,1.403863E-05
1.659999,1166.747,152.4991,200.1735,23.31591,4,1,26.26966,0.1490936,1,0,1.600081E-05
1.679999,1166.294,152.4991,200.045,23.5289,4,1,26.74019,0.1490936,1,0,1.618164E-05
1.699999,1165.837,152.4991,199.9153,23.74053,4,1,27.21503,0.1490936,1,0,1.938254E-05
1.719999,1165.377,152.4991,199.7845,23.95085,4,1,27.69406,0.1490936,1,0,1.933421E-05
1.739999,1164.912,152.4991,199.6525,24.15983,4,1,28.17727,0.1490936,1,0,2.083806E-05
1.759999,1164.443,152.4991,199.5194,24.36749,4,1,28.66467,0.1490936,1,0,2.095833E-05
1.779999,1163.97,152.4991,199.3852,24.57385,4,1,29.15613,0.1490936,1,0,2.116291E-05
1.799999,1163.493,152.4991,199.2499,24.77891,4,1,29.65165,0.1490936,1,0,2.184957E-05
1.819999,1163.013,152.4991,199.1134,24.98267,4,1,30.15136,0.1490936,1,0,2.448619E-05
1.839999,1162.528,152.4991,198.9759,25.18516,4,1,30.65501,0.1490936,1,0,2.427135E-05
