time,car,direction,station,lateral,lane_error,speed,target,grounded
4.61,3,-1,77.72,-2.60,0.00,16.80,17.00,4
4.81,0,1,3667.36,2.50,0.10,15.99,16.15,4
4.81,1,-1,37.38,-2.55,0.05,16.02,16.15,4
4.81,2,1,3630.08,2.52,0.08,16.89,17.00,4
4.81,3,-1,74.35,-2.60,0.00,16.90,17.00,4
5.01,0,1,3670.59,2.50,0.10,15.95,16.15,4
5.01,1,-1,34.18,-2.55,0.05,16.07,16.15,4
5.01,2,1,3633.47,2.52,0.08,16.84,17.00,4
5.01,3,-1,70.98,-2.61,0.01,16.83,17.00,4
5.21,0,1,3673.82,2.50,0.10,16.05,16.15,4
5.21,1,-1,30.97,-2.55,0.05,15.96,16.15,4
5.21,2,1,3636.88,2.51,0.09,16.75,17.00,4
5.21,3,-1,67.60,-2.62,0.02,16.90,17.00,4
5.41,0,1,3677.05,2.50,0.10,16.03,16.15,4
5.41,1,-1,27.77,-2.55,0.05,16.00,16.15,4
5.41,2,1,3640.27,2.51,0.09,16.88,17.00,4
5.41,3,-1,64.19,-2.63,0.03,16.95,17.00,4
5.61,0,1,3680.26,2.50,0.10,16.01,16.15,4
5.61,1,-1,24.58,-2.56,0.04,16.02,16.15,4
5.61,2,1,3643.69,2.50,0.10,16.82,17.00,4
5.61,3,-1,60.79,-2.62,0.02,16.84,17.00,4
5.81,0,1,3683.48,2.50,0.10,15.97,16.15,4
5.81,1,-1,21.40,-2.56,0.04,15.88,16.05,4
5.81,2,1,3647.08,2.50,0.10,16.90,17.00,4
5.81,3,-1,57.40,-2.61,0.01,16.89,17.00,4
6.01,0,1,3686.71,2.50,0.10,15.92,16.15,4
6.01,1,-1,18.28,-2.57,0.03,15.42,15.60,4
6.01,2,1,3650.49,2.50,0.10,16.86,17.00,4
6.01,3,-1,54.00,-2.60,0.00,16.93,17.00,4
6.22,0,1,3689.92,2.50,0.10,16.04,16.15,4
6.22,1,-1,15.28,-2.57,0.03,14.49,12.89,4
6.22,2,1,3653.90,2.50,0.10,16.81,17.00,4
6.22,3,-1,50.61,-2.58,0.02,16.82,17.00,4
6.42,0,1,3693.13,2.51,0.09,16.02,16.15,4
6.42,1,-1,12.61,-2.56,0.04,12.49,10.76,4
6.42,2,1,3657.29,2.49,0.11,16.90,17.00,4
6.42,3,-1,47.22,-2.57,0.03,16.87,17.00,4
6.62,0,1,3696.33,2.51,0.09,15.98,16.15,4
6.62,1,-1,10.25,-2.56,0.04,11.48,10.74,4
6.62,2,1,3660.70,2.49,0.11,16.86,17.00,4
6.62,3,-1,43.83,-2.56,0.04,16.91,17.00,4
6.82,0,1,3699.53,2.51,0.09,15.93,16.15,4
6.82,1,-1,8.05,-2.54,0.06,11.03,11.12,4
6.82,2,1,3664.10,2.49,0.11,16.81,17.00,4
6.82,3,-1,40.46,-2.55,0.05,16.79,17.00,4
7.02,0,1,3702.72,2.51,0.09,16.04,16.15,4
7.02,1,-1,5.99,-2.52,0.08,10.09,8.10,4
7.02,2,1,3667.50,2.49,0.11,16.90,17.00,4
7.02,3,-1,37.07,-2.54,0.06,16.81,17.00,4
7.22,0,1,3705.90,2.49,0.11,16.01,16.15,4
7.22,1,-1,4.18,-2.51,0.09,8.56,7.56,4
7.22,2,1,3670.90,2.49,0.11,16.87,17.00,4
7.22,3,-1,33.69,-2.54,0.06,16.83,17.00,4
7.42,0,1,3709.03,2.47,0.13,15.95,16.15,4
7.42,1,-1,2.60,-2.48,0.12,7.83,7.16,4
7.42,2,1,3674.30,2.49,0.11,16.83,17.00,4
7.42,3,-1,30.32,-2.54,0.06,16.85,17.00,4
7.62,0,1,3712.11,2.47,0.13,16.04,16.15,4
7.62,1,-1,1.19,-2.45,0.15,7.64,7.73,4
7.62,2,1,3677.69,2.49,0.11,16.77,17.00,4
7.62,3,-1,26.96,-2.55,0.05,16.85,17.00,4
7.82,0,1,3715.15,2.52,0.08,15.17,13.97,4
7.82,1,-1,4673.91,-2.43,0.17,7.87,9.15,4
7.82,2,1,3681.08,2.49,0.11,16.89,17.00,4
7.82,3,-1,23.59,-2.55,0.05,16.84,17.00,4
8.02,0,1,3717.94,2.60,0.00,13.72,12.65,4
8.02,1,-1,4672.20,-2.36,0.24,8.79,8.10,4
8.02,2,1,3684.46,2.49,0.11,16.86,17.00,4
8.02,3,-1,20.27,-2.56,0.04,16.44,15.79,4
8.22,0,1,3720.49,2.69,0.09,12.66,12.45,4
8.22,1,-1,4670.66,-2.16,0.44,8.08,7.19,4
8.22,2,1,3687.85,2.49,0.11,16.81,17.00,4
8.22,3,-1,17.06,-2.56,0.04,15.80,14.85,4
8.42,0,1,3722.89,2.78,0.16,12.10,11.45,4
8.42,1,-1,4669.17,-2.00,0.60,7.56,7.16,4
8.42,2,1,3691.24,2.50,0.10,16.90,17.00,4
8.42,3,-1,14.10,-2.56,0.04,13.92,11.38,4
8.62,0,1,3725.16,2.87,0.22,10.98,10.41,4
8.62,1,-1,4668.03,-1.71,0.89,7.05,7.16,4
8.62,2,1,3694.61,2.50,0.10,16.87,17.00,4
8.62,3,-1,11.56,-2.56,0.04,12.04,11.01,4
8.82,0,1,3727.24,2.96,0.26,9.99,9.80,4
8.82,1,-1,4666.57,-1.49,1.11,7.60,7.73,4
8.82,2,1,3697.98,2.51,0.09,16.83,17.00,4
8.82,3,-1,9.31,-2.55,0.05,11.22,11.12,4
9.02,0,1,3729.19,3.05,0.28,9.56,10.51,4
9.02,1,-1,4665.37,-1.35,1.25,8.35,9.15,4
9.02,2,1,3701.34,2.51,0.09,16.76,17.00,4
9.02,3,-1,7.14,-2.53,0.07,10.77,10.11,4
9.22,0,1,3731.18,3.14,0.30,9.94,10.75,4
9.22,1,-1,4664.00,-1.44,1.16,9.61,13.05,4
9.22,2,1,3704.70,2.50,0.10,16.88,17.00,4
9.22,3,-1,5.14,-2.51,0.09,9.40,8.10,4
9.42,0,1,3733.31,3.23,0.30,10.08,10.41,4
9.42,1,-1,4662.32,-1.96,0.64,11.70,16.15,4
9.42,2,1,3707.99,2.46,0.14,16.82,17.00,4
9.42,3,-1,3.51,-2.49,0.11,8.22,7.56,4
9.62,0,1,3735.80,3.27,0.21,9.45,9.54,4
9.62,1,-1,4660.22,-2.81,0.21,13.58,16.15,4
9.62,2,1,3711.24,2.45,0.15,16.74,16.97,4
9.62,3,-1,2.00,-2.47,0.13,7.66,7.16,4
9.82,0,1,3738.07,3.21,0.02,9.44,9.58,4
9.82,1,-1,4657.56,-3.70,1.10,15.01,16.15,4
9.82,2,1,3714.43,2.50,0.10,15.95,15.79,4
9.82,3,-1,0.53,-2.44,0.16,7.63,7.73,4
10.02,0,1,3740.88,2.94,0.42,10.23,11.32,4
10.02,1,-1,4654.13,-4.25,1.65,15.57,16.15,4
10.02,2,1,3717.32,2.58,0.02,14.09,13.13,4
10.02,3,-1,4673.17,-2.41,0.19,8.60,9.40,4
10.22,0,1,3743.75,2.46,1.09,11.55,14.78,4
10.22,1,-1,4650.80,-4.33,1.73,15.84,16.15,4
10.22,2,1,3719.93,2.67,0.07,12.92,12.45,4
10.22,3,-1,4671.41,-2.28,0.32,8.62,8.10,4
10.42,0,1,3746.40,1.85,1.88,13.16,16.37,4
10.42,1,-1,4647.69,-4.16,1.56,15.98,16.15,4
10.42,2,1,3722.36,2.76,0.16,12.33,12.48,4
10.42,3,-1,4669.99,-2.11,0.49,7.84,7.56,4
10.62,0,1,3749.34,1.30,2.64,14.95,17.60,4
10.62,1,-1,4644.58,-3.93,1.33,16.04,16.15,4
10.62,2,1,3724.70,2.85,0.26,11.34,10.41,4
10.62,3,-1,4668.50,-1.86,0.74,7.31,7.16,4
10.82,0,1,3752.65,0.92,3.28,16.63,21.22,4
10.82,1,-1,4641.48,-3.68,1.08,16.00,16.15,4
10.82,2,1,3726.84,2.94,0.35,10.29,9.80,4
10.82,3,-1,4667.36,-1.63,0.97,7.46,7.73,4
11.02,0,1,3756.19,0.83,3.64,18.21,22.07,4
11.02,1,-1,4638.36,-3.43,0.83,15.93,16.15,4
11.02,2,1,3728.82,3.03,0.45,9.42,9.54,4
11.02,3,-1,4666.12,-1.32,1.28,7.64,7.73,4
11.22,0,1,3760.07,1.00,3.75,19.77,23.01,4
11.22,1,-1,4635.24,-3.20,0.60,16.03,16.15,4
11.22,2,1,3730.81,3.11,0.55,9.71,10.75,4
11.22,3,-1,4664.58,-1.31,1.29,8.74,9.40,4
11.43,0,1,3764.24,1.42,3.64,21.29,23.98,4
11.43,1,-1,4632.12,-3.01,0.41,15.98,16.15,4
11.43,2,1,3732.93,3.18,0.63,10.00,10.41,4
11.43,3,-1,4663.10,-1.59,1.01,10.46,13.05,4
11.63,0,1,3768.71,2.02,3.34,22.75,24.95,4
11.63,1,-1,4628.94,-2.87,0.26,16.05,16.15,4
11.63,2,1,3735.12,3.22,0.69,9.65,9.80,4
11.63,3,-1,4661.43,-2.28,0.32,12.46,17.00,4
11.83,0,1,3773.45,2.75,2.90,24.14,25.87,4
11.83,1,-1,4625.78,-2.76,0.12,16.11,16.26,4
11.83,2,1,3737.69,3.13,0.62,9.43,9.58,4
11.83,3,-1,4659.13,-3.21,0.61,14.27,17.00,4
12.03,0,1,3778.43,3.53,2.36,25.23,26.66,4
12.03,1,-1,4622.57,-2.68,0.03,16.25,16.48,4
12.03,2,1,3740.44,2.88,0.39,9.91,11.32,4
12.03,3,-1,4656.09,-4.00,1.40,15.75,17.00,4
12.23,0,1,3783.61,4.28,1.78,26.08,27.24,4
12.23,1,-1,4619.34,-2.64,0.18,16.49,16.83,4
12.23,2,1,3742.88,2.38,0.09,11.20,12.22,4
12.23,3,-1,4652.58,-4.33,1.73,16.40,17.00,2
12.43,0,1,3788.94,4.96,1.19,26.69,27.53,4
12.43,1,-1,4616.03,-2.64,0.33,16.84,17.29,4
12.43,2,1,3745.70,1.70,0.73,12.80,16.37,4
12.43,3,-1,4649.14,-4.26,1.66,16.70,17.00,4
12.63,0,1,3794.36,5.51,0.64,27.03,27.55,4
12.63,1,-1,4612.64,-2.66,0.48,17.29,17.85,4
12.63,2,1,3748.50,0.98,1.42,14.64,18.78,4
12.63,3,-1,4645.92,-4.06,1.46,16.84,17.00,4
12.83,0,1,3799.82,5.93,0.22,27.20,27.55,4
12.83,1,-1,4609.17,-2.72,0.63,17.84,18.52,4
12.83,2,1,3751.63,0.37,1.99,16.35,19.21,4
12.83,3,-1,4642.64,-3.81,1.21,16.89,17.00,4
13.03,0,1,3805.32,6.21,0.06,27.29,27.55,4
13.03,1,-1,4605.54,-2.82,0.78,18.49,19.28,4
13.03,2,1,3755.09,-0.01,2.33,17.98,20.63,4
13.03,3,-1,4639.36,-3.55,0.95,16.84,17.00,4
13.23,0,1,3810.82,6.37,0.22,27.33,27.55,4
13.23,1,-1,4601.81,-2.95,0.92,19.23,20.13,4
13.23,2,1,3758.85,-0.15,2.43,19.51,23.84,4
13.23,3,-1,4636.07,-3.31,0.71,16.90,17.00,4
13.43,0,1,3816.31,6.43,0.28,27.35,27.55,4
13.43,1,-1,4597.93,-3.13,1.02,20.04,21.05,4
13.43,2,1,3762.92,-0.09,2.33,21.04,24.91,4
13.43,3,-1,4632.75,-3.10,0.50,16.86,17.00,4
13.63,0,1,3821.83,6.42,0.27,27.37,27.55,4
13.63,1,-1,4593.83,-3.37,1.10,20.92,22.03,4
13.63,2,1,3767.32,0.14,2.05,22.51,25.94,4
13.63,3,-1,4629.42,-2.93,0.33,16.77,17.00,4
13.83,0,1,3827.31,6.37,0.22,27.37,27.55,4
13.83,1,-1,4589.58,-3.63,1.15,21.94,23.16,4
13.83,2,1,3771.99,0.48,1.66,24.06,27.02,4
13.83,3,-1,4626.11,-2.80,0.21,16.91,17.11,4
14.03,0,1,3832.78,6.31,0.16,27.38,27.55,4
14.03,1,-1,4585.14,-3.93,1.17,22.90,24.19,4
14.03,2,1,3776.93,0.87,1.23,25.40,27.90,4
14.03,3,-1,4622.74,-2.71,0.13,17.08,17.36,4
14.23,0,1,3838.29,6.25,0.10,27.38,27.55,4
14.23,1,-1,4580.46,-4.25,1.16,23.86,25.19,4
14.23,2,1,3782.18,1.25,0.82,26.66,28.58,4
14.23,3,-1,4619.32,-2.66,0.09,17.36,17.75,4
14.43,0,1,3843.76,6.20,0.05,27.38,27.55,4
14.43,1,-1,4575.62,-4.59,1.11,24.77,26.09,4
14.43,2,1,3787.65,1.58,0.47,27.64,28.96,4
14.43,3,-1,4615.83,-2.63,0.09,17.75,18.27,4
14.63,0,1,3849.23,6.17,0.02,27.38,27.55,4
14.63,1,-1,4570.60,-4.93,1.00,25.61,26.83,4
14.63,2,1,3793.27,1.83,0.22,28.20,29.00,4
14.63,3,-1,4612.27,-2.61,0.10,18.26,18.91,4
14.83,0,1,3854.68,6.15,0.00,27.38,27.55,4
14.83,1,-1,4565.43,-5.26,0.83,26.30,27.35,4
14.83,2,1,3798.97,1.99,0.06,28.49,29.00,4
14.83,3,-1,4608.58,-2.61,0.13,18.88,19.67,4
15.03,0,1,3860.12,6.14,0.01,27.37,27.55,4
15.03,1,-1,4560.12,-5.57,0.58,26.80,27.55,4
15.03,2,1,3804.71,2.08,0.03,28.64,29.00,4
15.03,3,-1,4604.75,-2.60,0.17,19.62,20.54,4
15.23,0,1,3865.57,6.15,0.00,27.37,27.55,4
15.23,1,-1,4554.72,-5.85,0.30,27.07,27.55,4
15.23,2,1,3810.47,2.12,0.07,28.72,29.00,4
15.23,3,-1,4600.79,-2.60,0.21,20.45,21.50,4
15.43,0,1,3871.01,6.17,0.02,27.37,27.55,4
15.43,1,-1,4549.29,-6.06,0.09,27.20,27.55,4
15.43,2,1,3816.23,2.12,0.07,28.76,29.00,4
15.43,3,-1,4596.64,-2.61,0.27,21.36,22.55,4
15.63,0,1,3876.49,6.20,0.05,27.37,27.55,4
15.63,1,-1,4543.81,-6.21,0.06,27.27,27.55,4
15.63,2,1,3822.00,2.10,0.05,28.78,29.00,4
15.63,3,-1,4592.30,-2.61,0.32,22.35,23.66,4
15.84,0,1,3882.05,6.22,0.07,27.37,27.55,4
15.84,1,-1,4538.26,-6.30,0.15,27.30,27.55,4
15.84,2,1,3827.84,2.08,0.03,28.79,29.00,4
15.84,3,-1,4587.68,-2.60,0.36,23.38,24.81,4
16.04,0,1,3887.58,6.21,0.06,27.37,27.55,4
16.04,1,-1,4532.72,-6.33,0.18,27.32,27.55,4
16.04,2,1,3833.64,2.06,0.01,28.80,29.00,4
16.04,3,-1,4582.89,-2.56,0.38,24.44,25.94,4
16.24,0,1,3893.07,6.20,0.05,27.37,27.55,4
16.24,1,-1,4527.20,-6.32,0.17,27.34,27.55,4
16.24,2,1,3839.40,2.05,0.00,28.80,29.00,4
16.24,3,-1,4577.90,-2.51,0.37,25.47,27.00,4
16.44,0,1,3898.58,6.18,0.03,27.36,27.55,4
16.44,1,-1,4521.66,-6.28,0.13,27.34,27.55,4
16.44,2,1,3845.19,2.04,0.01,28.80,29.00,4
16.44,3,-1,4572.69,-2.44,0.35,26.44,27.92,4
16.64,0,1,3904.07,6.16,0.01,27.36,27.55,4
16.64,1,-1,4516.11,-6.23,0.08,27.35,27.55,4
16.64,2,1,3850.95,2.05,0.00,28.80,29.00,4
16.64,3,-1,4567.30,-2.36,0.30,27.28,28.60,4
16.84,0,1,3909.56,6.15,0.00,27.36,27.55,4
16.84,1,-1,4510.55,-6.16,0.01,27.35,27.55,4
16.84,2,1,3856.72,2.06,0.01,28.80,29.00,4
16.84,3,-1,4561.77,-2.28,0.23,27.93,28.97,4
17.04,0,1,3915.07,6.14,0.01,27.36,27.55,4
17.04,1,-1,4504.97,-6.10,0.05,27.35,27.55,4
17.04,2,1,3862.50,2.07,0.02,28.80,29.00,4
17.04,3,-1,4556.11,-2.20,0.15,28.33,29.00,4
17.24,0,1,3920.55,6.13,0.02,27.36,27.55,4
17.24,1,-1,4499.45,-6.04,0.11,27.36,27.55,4
17.24,2,1,3868.24,2.09,0.04,28.80,29.00,4
17.24,3,-1,4550.41,-2.13,0.08,28.54,29.00,4
17.44,0,1,3926.03,6.13,0.02,27.36,27.55,4
17.44,1,-1,4493.92,-6.00,0.15,27.36,27.55,4
17.44,2,1,3874.00,2.12,0.07,28.80,29.00,4
17.44,3,-1,4544.68,-2.08,0.03,28.64,29.00,4
17.64,0,1,3931.53,6.13,0.02,27.36,27.55,4
17.64,1,-1,4488.39,-5.98,0.17,27.36,27.55,4
17.64,2,1,3879.79,2.14,0.09,28.80,29.00,4
17.64,3,-1,4538.92,-2.03,0.02,28.70,29.00,4
17.84,0,1,3937.00,6.13,0.02,27.36,27.55,4
17.84,1,-1,4482.90,-5.98,0.17,27.37,27.55,4
17.84,2,1,3885.56,2.14,0.09,28.80,29.00,4
