lip,station,lateral,x,y,z,nx,ny,nz,collider
213,177,0,850.565,105.981,-102.352,-0.150,0.979,-0.139,Ground_Mountain_0_1
213,177,7,855.319,105.999,-107.490,-0.159,0.977,-0.145,Ground_Mountain_0_1
213,177,16,861.431,105.183,-114.097,0.079,0.713,-0.697,Ground_Mountain_0_1
213,179,-16,841.346,105.432,-89.128,-0.617,0.778,0.118,Ground_Mountain_0_1
213,179,-7,847.353,106.365,-95.831,-0.141,0.983,-0.116,Ground_Mountain_0_1
213,179,0,852.024,106.384,-101.044,-0.155,0.979,-0.134,Ground_Mountain_0_1
213,179,7,856.696,106.388,-106.257,-0.163,0.973,-0.161,Ground_Mountain_0_1
213,179,16,862.702,105.279,-112.960,0.468,0.805,-0.365,Ground_Mountain_0_1
213,181,-16,843.050,105.952,-87.653,-0.308,0.776,0.550,Ground_Mountain_0_1
213,181,-7,848.932,106.781,-94.466,-0.142,0.983,-0.119,Ground_Mountain_0_1
213,181,0,853.506,106.793,-99.765,-0.154,0.979,-0.132,Ground_Mountain_0_1
213,181,7,858.080,106.803,-105.063,-0.162,0.976,-0.146,Ground_Mountain_0_1
213,181,16,863.962,106.011,-111.876,-0.136,0.907,-0.398,Ground_Mountain_0_1
213,183,-16,844.816,106.481,-86.188,-0.413,0.910,-0.046,Ground_Mountain_0_1
213,183,-7,850.553,107.171,-93.122,-0.144,0.984,-0.109,Ground_Mountain_0_1
213,183,0,855.015,107.197,-98.516,-0.157,0.979,-0.130,Ground_Mountain_0_1
213,183,7,859.477,107.223,-103.909,-0.172,0.975,-0.139,Ground_Mountain_0_1
213,183,16,865.214,106.067,-110.843,0.008,0.743,-0.670,Ground_Mountain_0_1
213,185,-16,846.641,106.700,-84.740,-0.183,0.925,0.333,Ground_Mountain_0_1
213,185,-7,852.216,107.593,-91.805,-0.145,0.985,-0.097,Ground_Mountain_0_1
213,185,0,856.551,107.602,-97.301,-0.163,0.979,-0.122,Ground_Mountain_0_1
213,185,7,860.887,107.598,-102.797,-0.176,0.973,-0.150,Ground_Mountain_0_1
213,185,16,866.461,106.715,-109.862,0.299,0.902,-0.312,Ground_Mountain_0_1
213,187,-16,848.526,107.189,-83.316,-0.213,0.867,0.450,Ground_Mountain_0_1
213,187,-7,853.920,107.999,-90.520,-0.164,0.980,-0.116,Ground_Mountain_0_1
213,187,0,858.116,108.009,-96.124,-0.170,0.978,-0.121,Ground_Mountain_0_1
213,187,7,862.311,108.020,-101.727,-0.183,0.973,-0.138,Ground_Mountain_0_1
213,187,16,867.705,106.964,-108.932,-0.084,0.784,-0.615,Ground_Mountain_0_1
213,189,-16,850.469,107.800,-81.924,-0.257,0.785,0.564,Ground_Mountain_0_1
213,189,-7,855.666,108.411,-89.272,-0.160,0.982,-0.098,Ground_Mountain_0_1
213,189,0,859.708,108.425,-94.987,-0.172,0.978,-0.122,Ground_Mountain_0_1
213,189,7,863.750,108.446,-100.702,-0.192,0.970,-0.147,Ground_Mountain_0_1
213,189,16,868.946,107.499,-108.050,0.098,0.587,-0.804,Ground_Mountain_0_1
213,191,-16,852.463,108.065,-80.572,-0.166,0.954,0.248,Ground_Mountain_0_1
213,191,-7,857.447,108.867,-88.066,-0.191,0.974,-0.125,Ground_Mountain_0_1
213,191,0,861.323,108.869,-93.895,-0.188,0.974,-0.125,Ground_Mountain_0_1
213,191,7,865.199,108.867,-99.724,-0.186,0.974,-0.125,Ground_Mountain_0_1
213,191,16,870.183,107.761,-107.218,0.427,0.775,-0.466,Ground_Mountain_0_1
213,193,-16,854.505,108.484,-79.266,-0.211,0.883,0.420,Ground_Mountain_0_1
213,193,-7,859.261,109.332,-86.907,-0.209,0.970,-0.123,Ground_Mountain_0_1
213,193,0,862.961,109.341,-92.849,-0.207,0.970,-0.130,Ground_Mountain_0_1
213,193,7,866.660,109.328,-98.792,-0.219,0.963,-0.154,Ground_Mountain_0_1
213,193,16,871.417,108.074,-106.432,0.016,0.663,-0.748,Ground_Mountain_0_1
213,195,-16,856.589,109.126,-78.010,-0.340,0.940,-0.015,Ground_Mountain_0_1
213,195,-7,861.106,109.852,-85.794,-0.202,0.976,-0.087,Ground_Mountain_0_1
213,195,0,864.619,109.839,-91.849,-0.223,0.966,-0.130,Ground_Mountain_0_1
213,195,7,868.132,109.843,-97.903,-0.252,0.959,-0.129,Ground_Mountain_0_1
213,195,16,872.649,108.513,-105.688,0.232,0.893,-0.386,Ground_Mountain_0_1
213,197,-16,858.711,109.383,-76.806,-0.264,0.900,0.348,Ground_Mountain_0_1
213,197,-7,862.978,110.367,-84.730,-0.239,0.962,-0.130,Ground_Mountain_0_1
213,197,0,866.296,110.364,-90.894,-0.243,0.961,-0.131,Ground_Mountain_0_1
213,197,7,869.614,110.351,-97.057,-0.258,0.957,-0.135,Ground_Mountain_0_1
213,197,16,873.880,108.892,-104.982,-0.133,0.748,-0.651,Ground_Mountain_0_1
213,199,-16,860.867,110.027,-75.656,-0.297,0.766,0.569,Ground_Mountain_0_1
213,199,-7,864.874,110.948,-83.715,-0.224,0.971,-0.088,Ground_Mountain_0_1
213,199,0,867.990,110.914,-89.984,-0.242,0.961,-0.130,Ground_Mountain_0_1
213,199,7,871.106,110.879,-96.252,-0.276,0.942,-0.188,Ground_Mountain_0_1
213,199,16,875.112,109.327,-104.311,-0.002,0.572,-0.820,Ground_Mountain_0_1
213,201,-16,862.581,110.425,-74.805,-0.223,0.915,0.335,Ground_Mountain_0_1
213,201,-7,866.587,111.473,-82.864,-0.237,0.963,-0.124,Ground_Mountain_0_1
213,201,0,869.703,111.495,-89.132,-0.259,0.957,-0.128,Ground_Mountain_0_1
213,201,7,872.819,111.526,-95.400,-0.293,0.947,-0.128,Ground_Mountain_0_1
213,201,16,876.826,109.834,-103.459,0.227,0.868,-0.442,Ground_Mountain_0_1
213,203,-16,864.780,111.077,-73.772,-0.278,0.768,0.577,Ground_Mountain_0_1
213,203,-7,868.520,112.083,-81.959,-0.251,0.963,-0.103,Ground_Mountain_0_1
213,203,0,871.429,112.102,-88.326,-0.279,0.952,-0.128,Ground_Mountain_0_1
213,203,7,874.338,112.091,-94.693,-0.267,0.954,-0.136,Ground_Mountain_0_1
213,203,16,878.078,110.322,-102.879,0.310,0.677,-0.668,Ground_Mountain_0_1
213,205,-16,866.999,111.549,-72.797,-0.521,0.838,0.164,Ground_Mountain_0_1
213,205,-7,870.468,112.719,-81.102,-0.299,0.947,-0.114,Ground_Mountain_0_1
213,205,0,873.165,112.731,-87.561,-0.295,0.948,-0.121,Ground_Mountain_0_1
213,205,7,875.863,112.725,-94.020,-0.316,0.930,-0.188,Ground_Mountain_0_1
213,205,16,879.331,110.830,-102.325,-0.041,0.549,-0.835,Ground_Mountain_0_1
213,207,-16,869.233,112.399,-71.876,-0.286,0.714,0.640,Ground_Mountain_0_1
213,207,-7,872.427,113.440,-80.290,-0.284,0.951,-0.122,Ground_Mountain_0_1
213,207,0,874.911,113.390,-86.835,-0.309,0.943,-0.121,Ground_Mountain_0_1
213,207,7,877.395,113.356,-93.379,-0.336,0.933,-0.126,Ground_Mountain_0_1
213,207,16,880.589,111.408,-101.793,0.124,0.859,-0.496,Ground_Mountain_0_1
213,209,-16,870.991,112.656,-71.209,-0.272,0.818,0.506,Ground_Mountain_0_1
213,209,-7,874.185,114.045,-79.623,-0.294,0.950,-0.101,Ground_Mountain_0_1
213,209,0,876.669,114.062,-86.167,-0.324,0.937,-0.128,Ground_Mountain_0_1
213,209,7,879.154,114.063,-92.712,-0.352,0.919,-0.179,Ground_Mountain_0_1
213,209,16,882.348,111.828,-101.126,0.193,0.708,-0.679,Ground_Mountain_0_1
213,211,-16,873.246,113.504,-70.401,-0.499,0.852,0.161,Ground_Mountain_0_1
213,211,-7,876.165,114.751,-78.915,-0.338,0.935,-0.108,Ground_Mountain_0_1
213,211,0,878.435,114.760,-85.537,-0.338,0.934,-0.116,Ground_Mountain_0_1
213,211,7,880.705,114.752,-92.158,-0.335,0.928,-0.161,Ground_Mountain_0_1
213,211,16,883.624,112.367,-100.672,-0.115,0.568,-0.815,Ground_Mountain_0_1
213,213,-16,875.428,114.139,-69.666,-0.285,0.717,0.637,Ground_Mountain_0_2
213,213,-7,878.115,115.480,-78.255,-0.323,0.943,-0.082,Ground_Mountain_0_1
213,213,0,880.205,115.478,-84.936,-0.361,0.926,-0.112,Ground_Mountain_0_1
213,213,7,882.295,115.437,-91.617,-0.400,0.905,-0.141,Ground_Mountain_0_1
213,213,16,884.982,113.038,-100.206,-0.013,0.462,-0.887,Ground_Mountain_0_1
213,215,-16,877.526,114.704,-69.026,-0.501,0.802,0.326,Ground_Mountain_0_2
213,215,-7,880.035,116.214,-77.670,-0.299,0.951,-0.081,Ground_Mountain_0_1
213,215,0,881.986,116.226,-84.392,-0.355,0.929,-0.106,Ground_Mountain_0_1
213,215,7,883.937,116.214,-91.115,-0.377,0.919,-0.114,Ground_Mountain_0_1
213,215,16,886.446,113.637,-99.758,0.026,0.788,-0.616,Ground_Mountain_0_1
213,217,-16,879.661,115.479,-68.430,-0.402,0.875,0.268,Ground_Mountain_0_2
213,217,-7,882.006,116.860,-77.119,-0.023,0.998,-0.064,Ground_Mountain_0_1
213,217,0,883.830,116.863,-83.877,-0.297,0.949,-0.108,Ground_Mountain_0_1
213,217,7,885.654,116.837,-90.635,-0.293,0.953,-0.075,Ground_Mountain_0_1
213,217,16,887.998,114.162,-99.325,-0.207,0.647,-0.734,Ground_Mountain_0_1
213,219,-16,881.847,114.928,-67.869,0.123,0.581,0.805,Ground_Mountain_0_2
213,219,-7,884.041,116.786,-76.597,0.294,0.955,0.035,Ground_Mountain_0_1
213,219,0,885.747,116.774,-83.386,0.192,0.977,0.088,Ground_Mountain_0_1
213,219,7,887.454,116.680,-90.175,0.216,0.975,0.047,Ground_Mountain_0_1
213,219,16,889.648,113.426,-98.903,0.462,0.603,-0.650,Ground_Mountain_0_1
213,221,-16,884.124,114.077,-67.334,0.202,0.861,0.468,Ground_Mountain_0_2
213,221,-7,886.051,116.063,-76.125,0.442,0.894,0.069,Ground_Mountain_0_1
213,221,0,887.550,116.026,-82.963,0.403,0.909,0.107,Ground_Mountain_0_1
213,221,7,889.049,116.021,-89.800,0.437,0.896,0.082,Ground_Mountain_0_1
213,221,16,890.976,113.020,-98.591,0.322,0.650,-0.689,Ground_Mountain_0_1
213,223,-16,886.060,113.423,-66.913,0.273,0.856,0.439,Ground_Mountain_0_2
213,223,-7,887.870,115.070,-75.730,0.435,0.889,0.144,Ground_Mountain_0_1
213,223,0,889.277,115.080,-82.587,0.479,0.872,0.101,Ground_Mountain_0_1
213,223,7,890.685,115.105,-89.444,0.508,0.856,0.098,Ground_Mountain_0_1
213,223,16,892.494,112.648,-98.260,0.152,0.576,-0.803,Ground_Mountain_0_1
213,225,-16,887.983,113.166,-66.523,-0.062,0.990,0.129,Ground_Mountain_0_2
213,225,-7,889.684,114.086,-75.361,0.422,0.901,0.099,Ground_Mountain_0_1
213,225,0,891.007,114.130,-82.235,0.448,0.890,0.081,Ground_Mountain_0_1
213,225,7,892.330,114.113,-89.109,0.456,0.884,0.103,Ground_Mountain_0_1
213,225,16,894.031,112.620,-97.947,0.290,0.916,-0.277,Ground_Mountain_0_1
213,227,-16,889.968,112.714,-66.146,0.201,0.965,0.166,Ground_Mountain_0_2
213,227,-7,891.570,113.328,-75.003,0.307,0.950,0.046,Ground_Mountain_0_1
213,227,0,892.815,113.356,-81.891,0.285,0.955,0.087,Ground_Mountain_0_1
213,227,7,894.061,113.297,-88.779,0.190,0.981,0.037,Ground_Mountain_0_1
213,227,16,895.662,112.200,-97.636,0.206,0.911,-0.358,Ground_Mountain_0_1
213,229,-16,892.054,112.674,-65.776,-0.012,0.947,0.321,Ground_Mountain_0_2
213,229,-7,893.564,113.056,-74.648,0.048,0.999,-0.014,Ground_Mountain_0_1
213,229,0,894.738,113.033,-81.549,-0.046,0.998,0.029,Ground_Mountain_0_1
213,229,7,895.912,113.013,-88.450,0.133,0.991,-0.022,Ground_Mountain_0_1
213,229,16,897.422,112.021,-97.322,0.017,0.879,-0.477,Ground_Mountain_0_1
213,231,-16,894.163,112.627,-65.425,-0.059,0.963,0.264,Ground_Mountain_0_2
213,231,-7,895.588,113.262,-74.311,-0.141,0.990,-0.029,Ground_Mountain_0_1
213,231,0,896.697,113.249,-81.223,-0.177,0.984,-0.025,Ground_Mountain_0_1
213,231,7,897.806,113.252,-88.134,-0.136,0.989,-0.054,Ground_Mountain_0_1
213,231,16,899.231,111.914,-97.021,0.041,0.805,-0.592,Ground_Mountain_0_1
213,233,-16,896.245,112.695,-65.099,-0.054,0.971,0.232,Ground_Mountain_0_2
213,233,-7,897.593,113.612,-73.997,-0.174,0.985,0.004,Ground_Mountain_0_1
213,233,0,898.641,113.611,-80.918,-0.180,0.983,-0.027,Ground_Mountain_0_1
213,233,7,899.689,113.608,-87.840,-0.184,0.982,-0.029,Ground_Mountain_0_1
213,233,16,901.037,111.888,-96.738,0.053,0.742,-0.668,Ground_Mountain_1_1
213,235,-16,898.317,112.739,-64.793,-0.048,0.972,0.229,Ground_Mountain_0_2
213,235,-7,899.594,113.963,-73.702,-0.174,0.985,0.009,Ground_Mountain_0_1
213,235,0,900.587,113.972,-80.631,-0.180,0.983,-0.026,Ground_Mountain_1_1
213,235,7,901.579,113.964,-87.561,-0.182,0.983,-0.030,Ground_Mountain_1_1
213,235,16,902.856,111.842,-96.470,0.106,0.675,-0.730,Ground_Mountain_1_1
213,237,-16,900.382,112.745,-64.505,-0.049,0.968,0.247,Ground_Mountain_1_2
213,237,-7,901.593,114.314,-73.423,-0.176,0.984,0.008,Ground_Mountain_1_1
213,237,0,902.535,114.334,-80.359,-0.181,0.983,-0.024,Ground_Mountain_1_1
213,237,7,903.477,114.313,-87.296,-0.182,0.983,-0.037,Ground_Mountain_1_1
213,237,16,904.688,111.743,-96.214,0.142,0.617,-0.774,Ground_Mountain_1_1
213,239,-16,902.436,112.709,-64.233,-0.014,0.946,0.323,Ground_Mountain_1_2
213,239,-7,903.587,114.679,-73.159,-0.186,0.983,0.003,Ground_Mountain_1_1
213,239,0,904.483,114.703,-80.102,-0.191,0.981,-0.025,Ground_Mountain_1_1
213,239,7,905.378,114.668,-87.044,-0.189,0.980,-0.053,Ground_Mountain_1_1
213,239,16,906.530,111.577,-95.970,0.240,0.860,-0.451,Ground_Mountain_1_1
213,241,-16,904.479,112.653,-63.976,-0.025,0.890,0.455,Ground_Mountain_1_2
213,241,-7,905.575,115.071,-72.909,-0.200,0.980,-0.005,Ground_Mountain_1_1
213,241,0,906.429,115.094,-79.857,-0.205,0.979,-0.025,Ground_Mountain_1_1
213,241,7,907.282,115.046,-86.805,-0.203,0.976,-0.079,Ground_Mountain_1_1
213,241,16,908.379,111.216,-95.738,0.245,0.799,-0.549,Ground_Mountain_1_1
213,243,-16,906.509,112.590,-63.733,-0.039,0.886,0.463,Ground_Mountain_1_2
213,243,-7,907.556,115.493,-72.672,-0.213,0.977,-0.013,Ground_Mountain_1_1
213,243,0,908.371,115.511,-79.624,-0.217,0.976,-0.025,Ground_Mountain_1_1
213,243,7,909.185,115.454,-86.576,-0.215,0.970,-0.115,Ground_Mountain_1_1
213,243,16,910.233,110.875,-95.515,0.243,0.737,-0.631,Ground_Mountain_1_1
213,245,-16,908.527,112.557,-63.501,-0.057,0.875,0.480,Ground_Mountain_1_2
213,245,-7,909.529,115.942,-72.445,-0.224,0.974,-0.019,Ground_Mountain_1_1
213,245,0,910.309,115.951,-79.402,-0.228,0.973,-0.025,Ground_Mountain_1_1
213,245,7,911.088,115.897,-86.358,-0.225,0.961,-0.160,Ground_Mountain_1_1
213,245,16,912.091,110.560,-95.302,0.233,0.680,-0.695,Ground_Mountain_1_1
213,247,-16,910.534,112.554,-63.280,-0.078,0.860,0.504,Ground_Mountain_1_2
213,247,-7,911.496,116.410,-72.228,-0.232,0.972,-0.024,Ground_Mountain_1_1
213,247,0,912.244,116.412,-79.188,-0.237,0.971,-0.025,Ground_Mountain_1_1
213,247,7,912.992,116.379,-86.148,-0.232,0.949,-0.215,Ground_Mountain_1_1
213,247,16,913.953,110.269,-95.097,0.118,0.642,-0.758,Ground_Mountain_1_1
213,249,-16,912.530,112.585,-63.068,-0.103,0.841,0.531,Ground_Mountain_1_2
213,249,-7,913.455,116.893,-72.021,-0.238,0.971,-0.025,Ground_Mountain_1_1
213,249,0,914.175,116.890,-78.984,-0.245,0.969,-0.025,Ground_Mountain_1_1
213,249,7,914.895,116.885,-85.947,-0.244,0.969,-0.025,Ground_Mountain_1_1
213,249,16,915.820,110.004,-94.899,0.118,0.598,-0.793,Ground_Mountain_1_1
213,251,-16,914.516,112.651,-62.865,-0.123,0.817,0.563,Ground_Mountain_1_2
213,251,-7,915.409,117.356,-71.821,-0.242,0.960,0.140,Ground_Mountain_1_1
213,251,0,916.103,117.383,-78.786,-0.252,0.967,-0.025,Ground_Mountain_1_1
213,251,7,916.798,117.372,-85.752,-0.246,0.969,-0.027,Ground_Mountain_1_1
213,251,16,917.690,109.786,-94.707,0.112,0.560,-0.821,Ground_Mountain_1_1
213,253,-16,916.493,112.758,-62.669,-0.146,0.794,0.590,Ground_Mountain_1_2
213,253,-7,917.357,117.836,-71.628,-0.249,0.961,0.121,Ground_Mountain_1_1
213,253,0,918.029,117.889,-78.595,-0.257,0.966,-0.025,Ground_Mountain_1_1
