route,station,x,y,z,obstacle
Mountain return trails / exploration only,280.0,944.05,124.70,-76.32,
Mountain return trails / exploration only,285.0,948.94,125.66,-75.89,
Mountain return trails / exploration only,290.0,953.84,126.54,-75.44,
Mountain return trails / exploration only,295.0,958.74,127.41,-74.97,
Mountain return trails / exploration only,300.0,963.64,128.28,-74.46,
Mountain return trails / exploration only,305.0,968.53,129.16,-73.91,
Mountain return trails / exploration only,310.0,973.41,130.04,-73.30,
Mountain return trails / exploration only,315.0,978.29,130.92,-72.62,
Mountain return trails / exploration only,320.0,983.15,131.81,-71.87,
Mountain return trails / exploration only,325.0,988.00,132.70,-71.02,
Mountain return trails / exploration only,330.0,992.82,133.59,-70.06,
Mountain return trails / exploration only,335.0,997.61,134.49,-68.95,
Mountain return trails / exploration only,340.0,1002.36,135.40,-67.68,
Mountain return trails / exploration only,345.0,1007.05,136.31,-66.19,
Mountain return trails / exploration only,350.0,1011.64,137.23,-64.43,
Mountain return trails / exploration only,355.0,1016.08,138.15,-62.34,
Mountain return trails / exploration only,360.0,1020.29,139.06,-59.80,
Mountain return trails / exploration only,365.0,1024.22,139.94,-56.84,
Mountain return trails / exploration only,370.0,1027.90,140.77,-53.56,
Mountain return trails / exploration only,375.0,1031.30,141.54,-49.99,
Mountain return trails / exploration only,380.0,1034.42,142.27,-46.15,
Mountain return trails / exploration only,385.0,1037.26,142.94,-42.08,
Mountain return trails / exploration only,390.0,1039.80,143.57,-37.83,
Mountain return trails / exploration only,395.0,1042.07,144.16,-33.41,
Mountain return trails / exploration only,400.0,1044.07,144.71,-28.86,
Mountain return trails / exploration only,405.0,1045.80,145.24,-24.20,
Mountain return trails / exploration only,410.0,1047.29,145.74,-19.46,
Mountain return trails / exploration only,415.0,1048.55,146.23,-14.64,
Mountain return trails / exploration only,420.0,1049.57,146.70,-9.77,
Mountain return trails / exploration only,425.0,1050.37,147.17,-4.86,
Mountain return trails / exploration only,430.0,1050.97,147.65,0.08,
Mountain return trails / exploration only,435.0,1051.34,148.13,5.04,
Mountain return trails / exploration only,440.0,1051.51,148.63,10.01,
Mountain return trails / exploration only,445.0,1051.47,149.16,14.99,
Mountain return trails / exploration only,450.0,1051.21,149.71,19.95,
Mountain return trails / exploration only,455.0,1050.74,150.31,24.89,
Mountain return trails / exploration only,460.0,1050.03,150.97,29.79,
Mountain return trails / exploration only,465.0,1048.98,151.69,34.63,
Mountain return trails / exploration only,470.0,1047.53,152.43,39.35,
Mountain return trails / exploration only,475.0,1045.76,153.18,43.97,
Mountain return trails / exploration only,480.0,1043.73,153.94,48.47,
Mountain return trails / exploration only,485.0,1041.47,154.70,52.87,
Mountain return trails / exploration only,490.0,1039.04,155.46,57.17,
Mountain return trails / exploration only,495.0,1036.44,156.20,61.38,
Mountain return trails / exploration only,500.0,1033.72,156.94,65.50,
Mountain return trails / exploration only,505.0,1030.88,157.66,69.56,
Mountain return trails / exploration only,510.0,1027.94,158.36,73.54,
Mountain return trails / exploration only,515.0,1024.91,159.06,77.46,
Mountain return trails / exploration only,520.0,1021.82,159.87,81.30,
Mountain return trails / exploration only,525.0,1018.67,160.83,85.06,
Mountain return trails / exploration only,530.0,1015.48,161.95,88.74,
Mountain return trails / exploration only,535.0,1012.26,163.21,92.35,
Mountain return trails / exploration only,540.0,1009.01,164.60,95.89,
Mountain return trails / exploration only,545.0,1005.73,166.08,99.37,
Mountain return trails / exploration only,550.0,1002.41,165.54,102.81,
Mountain return trails / exploration only,555.0,999.44,162.86,105.81,
Mountain return trails / exploration only,560.0,996.07,161.64,109.15,
Mountain return trails / exploration only,565.0,992.49,161.88,112.63,
Mountain return trails / exploration only,570.0,988.86,162.13,116.07,
Mountain return trails / exploration only,575.0,985.17,162.43,119.42,
Mountain return trails / exploration only,580.0,981.39,162.74,122.68,
Mountain return trails / exploration only,585.0,977.52,163.03,125.83,
Mountain return trails / exploration only,590.0,973.56,163.24,128.88,
Mountain return trails / exploration only,595.0,969.51,163.34,131.81,
Mountain return trails / exploration only,600.0,965.38,163.27,134.62,
Mountain return trails / exploration only,605.0,961.16,163.01,137.29,
Mountain return trails / exploration only,610.0,956.87,162.56,139.81,
Mountain return trails / exploration only,615.0,952.49,162.03,142.17,
Mountain return trails / exploration only,620.0,948.04,161.42,144.36,
Mountain return trails / exploration only,625.0,943.51,160.72,146.36,
Mountain return trails / exploration only,630.0,938.91,159.94,148.16,
Mountain return trails / exploration only,635.0,934.25,159.08,149.75,
Mountain return trails / exploration only,640.0,929.53,158.13,151.09,
Mountain return trails / exploration only,645.0,924.76,157.10,152.18,
Mountain return trails / exploration only,650.0,919.95,155.99,153.01,
Mountain return trails / exploration only,655.0,915.14,154.75,153.53,
Mountain return trails / exploration only,660.0,910.34,153.37,153.79,
Mountain return trails / exploration only,665.0,905.57,151.88,153.81,
Mountain return trails / exploration only,670.0,900.83,150.31,153.60,
Mountain return trails / exploration only,675.0,896.13,148.66,153.18,
Mountain return trails / exploration only,680.0,891.46,146.97,152.56,
Mountain return trails / exploration only,685.0,886.84,145.24,151.75,
Mountain return trails / exploration only,690.0,882.27,143.48,150.75,
Mountain return trails / exploration only,695.0,877.75,141.71,149.56,
Mountain return trails / exploration only,700.0,873.28,139.94,148.17,
Mountain return trails / exploration only,705.0,868.88,138.18,146.59,
Mountain return trails / exploration only,710.0,864.55,136.44,144.80,
Mountain return trails / exploration only,715.0,860.30,134.74,142.78,
Mountain return trails / exploration only,720.0,856.15,133.11,140.52,
Mountain return trails / exploration only,725.0,852.13,131.54,138.00,
Mountain return trails / exploration only,730.0,848.25,130.09,135.20,
Mountain return trails / exploration only,735.0,844.71,128.81,131.92,
Mountain return trails / exploration only,740.0,841.66,127.70,128.12,
Mountain return trails / exploration only,745.0,839.01,126.76,123.99,
Mountain return trails / exploration only,750.0,836.70,125.92,119.64,
Mountain return trails / exploration only,755.0,834.62,125.18,115.15,
Mountain return trails / exploration only,760.0,832.72,124.50,110.58,
Mountain return trails / exploration only,765.0,830.95,123.86,105.95,
Mountain return trails / exploration only,770.0,829.23,123.24,101.29,
Mountain return trails / exploration only,775.0,827.54,122.63,96.62,
Mountain return trails / exploration only,780.0,825.82,122.00,91.97,
Mountain return trails / exploration only,785.0,824.02,121.34,87.35,
Mountain return trails / exploration only,790.0,822.09,120.62,82.80,
Mountain return trails / exploration only,795.0,819.93,119.77,78.37,
Mountain return trails / exploration only,800.0,817.52,118.51,74.18,
Mountain return trails / exploration only,805.0,814.73,116.90,70.36,
Mountain return trails / exploration only,810.0,811.47,114.96,67.12,
Mountain return trails / exploration only,815.0,807.59,113.13,64.58,
Mountain return trails / exploration only,820.0,803.06,112.11,62.76,
Mountain return trails / exploration only,825.0,798.30,111.25,61.73,
Mountain return trails / exploration only,830.0,793.70,109.32,61.34,
Mountain return trails / exploration only,835.0,789.10,107.38,61.36,
Mountain return trails / exploration only,840.0,784.50,105.44,61.69,
Mountain return trails / exploration only,845.0,779.92,103.51,62.21,
Mountain return trails / exploration only,850.0,775.34,101.60,62.86,
Mountain return trails / exploration only,855.0,770.77,99.71,63.57,
Mountain return trails / exploration only,860.0,766.18,97.85,64.28,
Mountain return trails / exploration only,865.0,761.57,96.02,64.90,
Mountain return trails / exploration only,870.0,756.93,94.23,65.37,
Mountain return trails / exploration only,875.0,752.24,92.49,65.57,
Mountain return trails / exploration only,880.0,747.53,90.84,65.35,
Mountain return trails / exploration only,885.0,742.82,89.32,64.66,
Mountain return trails / exploration only,890.0,738.04,87.92,64.25,
Mountain return trails / exploration only,895.0,733.21,86.64,64.14,
Mountain return trails / exploration only,900.0,728.35,85.45,64.17,
Mountain return trails / exploration only,905.0,723.47,84.36,64.17,
Mountain return trails / exploration only,910.0,718.58,83.34,63.94,
Mountain return trails / exploration only,915.0,713.73,82.39,63.24,
Mountain return trails / exploration only,920.0,709.02,81.52,61.82,
Mountain return trails / exploration only,925.0,704.72,80.76,59.41,
Mountain return trails / exploration only,930.0,701.06,80.11,56.09,
Mountain return trails / exploration only,935.0,698.18,79.60,52.04,
Mountain return trails / exploration only,940.0,695.98,79.19,47.58,
Mountain return trails / exploration only,945.0,694.34,78.87,42.87,
Mountain return trails / exploration only,950.0,694.74,78.66,38.18,
Mountain return trails / exploration only,955.0,698.59,78.55,35.04,
Mountain return trails / exploration only,960.0,702.95,78.48,32.58,
Mountain return trails / exploration only,965.0,707.40,78.43,30.31,
Mountain return trails / exploration only,970.0,711.81,78.38,27.95,
Mountain return trails / exploration only,975.0,715.95,78.33,25.16,
Mountain return trails / exploration only,980.0,718.00,78.28,20.87,
Mountain return trails / exploration only,985.0,718.00,78.23,15.87,
Mountain return trails / exploration only,990.0,718.00,78.20,10.87,
Mountain return trails / exploration only,995.0,718.00,78.19,5.87,
Mountain return trails / exploration only,1000.0,718.00,78.19,0.87,
Mountain return trails / exploration only,1005.0,718.00,78.19,-4.13,
Mountain return trails / exploration only,1010.0,718.00,78.21,-9.13,
Mountain return trails / exploration only,1015.0,718.00,78.23,-14.13,
Mountain return trails / exploration only,1020.0,718.00,78.26,-19.13,
Mountain return trails / exploration only,1025.0,718.00,78.30,-24.13,
Mountain return trails / exploration only,1030.0,718.00,78.34,-29.13,
Mountain return trails / exploration only,1035.0,718.00,78.38,-34.13,
Mountain return trails / exploration only,1040.0,718.00,78.43,-39.13,
Mountain return trails / exploration only,1045.0,715.93,78.47,-43.48,
Mountain return trails / exploration only,1050.0,711.98,78.51,-46.51,
Mountain return trails / exploration only,1055.0,707.64,78.53,-48.99,
Mountain return trails / exploration only,1060.0,703.21,78.56,-51.30,
Mountain return trails / exploration only,1065.0,698.79,78.59,-53.65,
Mountain return trails / exploration only,1070.0,694.53,78.62,-56.26,
Mountain return trails / exploration only,1075.0,690.81,78.65,-59.56,
Mountain return trails / exploration only,1080.0,689.80,78.71,-64.30,
Mountain return trails / exploration only,1085.0,689.88,78.77,-69.30,
Mountain return trails / exploration only,1090.0,689.96,78.83,-74.29,
Mountain return trails / exploration only,1095.0,690.03,78.88,-79.29,
Mountain return trails / exploration only,1100.0,690.08,78.93,-84.29,
Mountain return trails / exploration only,1105.0,690.10,78.98,-89.29,
Mountain return trails / exploration only,1110.0,690.02,79.00,-94.29,
Lake shore connection,0.0,472.33,85.49,-22.74,
Lake shore connection,5.0,474.94,86.18,-26.95,
Lake shore connection,10.0,477.47,86.80,-31.22,
Lake shore connection,15.0,480.01,87.33,-35.49,
Lake shore connection,20.0,482.60,87.68,-39.75,
Lake shore connection,25.0,485.28,87.83,-43.97,
Lake shore connection,30.0,488.07,87.89,-48.12,
Lake shore connection,35.0,491.01,87.95,-52.16,
Lake shore connection,40.0,494.17,87.91,-56.04,
Lake shore connection,45.0,497.63,87.29,-59.57,
Lake shore connection,50.0,501.32,85.91,-62.64,
Lake shore connection,55.0,505.19,84.10,-65.23,
Lake shore connection,60.0,509.41,82.77,-67.52,
Lake shore connection,65.0,513.92,82.25,-69.61,
Lake shore connection,70.0,518.49,81.81,-71.60,
Lake shore connection,75.0,523.04,81.44,-73.64,
Lake shore connection,80.0,527.55,81.14,-75.77,
Lake shore connection,85.0,532.00,80.90,-78.04,
Lake shore connection,90.0,536.40,80.68,-80.40,
Lake shore connection,95.0,540.77,80.49,-82.82,
Lake shore connection,100.0,545.14,80.31,-85.25,
Lake shore connection,105.0,549.50,80.14,-87.69,
Lake shore connection,110.0,553.88,79.98,-90.10,
Lake shore connection,115.0,558.27,80.05,-92.49,
Lake shore connection,120.0,562.69,80.12,-94.82,
Lake shore connection,125.0,567.14,80.14,-97.10,
Lake shore connection,130.0,571.63,80.34,-99.30,
Lake shore connection,135.0,576.16,80.59,-101.39,
Lake shore connection,140.0,580.75,80.82,-103.36,
Lake shore connection,145.0,585.41,80.83,-105.16,
Lake shore connection,150.0,590.15,80.56,-106.74,
Lake shore connection,155.0,594.95,80.26,-108.08,
Lake shore connection,160.0,599.81,79.97,-109.24,
Lake shore connection,165.0,604.69,79.56,-110.23,
Lake shore connection,170.0,609.11,77.47,-110.98,
Lake shore connection,175.0,612.83,74.18,-111.51,
Lake shore connection,180.0,617.28,73.21,-112.03,
Lake shore connection,185.0,620.83,76.64,-112.36,
Lake shore connection,190.0,625.03,78.88,-112.65,
Lake shore connection,195.0,630.02,78.92,-112.85,
Lake shore connection,200.0,635.02,78.94,-112.90,
Lake shore connection,205.0,640.02,78.97,-112.78,
Lake shore connection,210.0,645.01,78.99,-112.49,
Lake shore connection,215.0,649.99,79.00,-112.00,
Lake shore connection,220.0,654.93,79.00,-111.27,
Lake shore connection,225.0,659.83,79.00,-110.25,
Lake shore connection,230.0,664.65,79.00,-108.91,
Lake shore connection,235.0,669.35,79.00,-107.23,
Lake shore connection,240.0,673.93,79.00,-105.21,
Lake shore connection,245.0,678.35,79.00,-102.88,
Lake shore connection,250.0,682.61,79.00,-100.27,
Lake shore connection,255.0,686.73,79.00,-97.44,
Lake shore connection,260.0,690.73,79.03,-94.44,
Lake shore connection,265.0,694.69,79.04,-91.40,
Lake shore connection,270.0,698.63,78.99,-88.32,
Lake shore connection,275.0,702.49,79.00,-85.13,
Lake shore connection,280.0,706.23,79.00,-81.81,
Lake shore connection,285.0,709.79,79.00,-78.31,
Lake shore connection,290.0,713.15,79.00,-74.60,
Lake shore connection,295.0,716.22,79.00,-70.66,
Lake shore connection,300.0,718.96,79.00,-66.48,
Lake shore connection,305.0,721.30,79.00,-62.07,
Lake shore connection,310.0,723.20,79.00,-57.44,
Lake shore connection,315.0,724.63,79.00,-52.66,
Lake shore connection,320.0,725.68,78.99,-47.77,
Lake shore connection,325.0,726.46,78.93,-42.83,
Lake shore connection,330.0,727.04,78.94,-37.86,
Lake shore connection,335.0,727.45,78.96,-32.88,
Lake shore connection,340.0,727.74,78.98,-27.89,
Lake shore connection,345.0,727.89,78.99,-22.89,
Lake shore connection,350.0,727.94,79.00,-17.89,
Lake shore connection,355.0,727.88,78.99,-12.89,
Lake shore connection,360.0,727.71,78.98,-7.90,
Lake shore connection,365.0,727.43,78.95,-2.90,
Lake shore connection,370.0,727.02,78.91,2.08,
Lake shore connection,375.0,726.48,78.81,7.05,
Lake shore connection,380.0,725.75,78.66,11.99,
Lake shore connection,385.0,724.79,78.47,16.89,
Lake shore connection,390.0,723.44,78.32,21.70,
Lake shore connection,395.0,721.43,78.31,26.27,
Lake shore connection,400.0,718.55,78.38,30.35,
Lake shore connection,405.0,714.89,78.53,33.73,
Lake shore connection,410.0,710.68,78.62,36.42,
Lake shore connection,415.0,706.24,78.66,38.71,
Lake shore connection,420.0,701.76,78.70,40.94,
Lake shore connection,425.0,697.42,78.95,43.40,
Lake shore connection,430.0,693.30,79.04,46.23,
Lake shore connection,435.0,689.32,79.09,49.25,
Lake shore connection,440.0,685.36,78.97,52.31,
Lake shore connection,445.0,681.39,78.96,55.34,
Lake shore connection,450.0,677.35,78.94,58.29,
Lake shore connection,455.0,673.21,78.93,61.10,
Lake shore connection,460.0,668.95,78.93,63.70,
Lake shore connection,465.0,664.52,78.93,66.03,
Lake shore connection,470.0,659.95,78.95,68.04,
Lake shore connection,475.0,655.21,78.99,69.65,
Lake shore connection,480.0,650.38,79.04,70.92,
Lake shore connection,485.0,645.50,79.09,72.00,
Lake shore connection,490.0,640.58,79.15,72.93,
Lake shore connection,495.0,635.65,79.21,73.71,
Lake shore connection,500.0,630.69,79.28,74.33,
Lake shore connection,505.0,625.71,79.35,74.78,
Lake shore connection,510.0,620.72,79.43,75.05,
Lake shore connection,515.0,615.72,79.52,75.11,
Lake shore connection,520.0,610.72,79.61,74.94,
Lake shore connection,525.0,605.74,79.71,74.50,
Lake shore connection,530.0,600.80,79.82,73.74,
Lake shore connection,535.0,595.94,79.95,72.59,
Lake shore connection,540.0,591.22,80.08,70.97,
Lake shore connection,545.0,586.68,80.24,68.87,
Lake shore connection,550.0,582.34,80.52,66.41,
Lake shore connection,555.0,578.21,81.23,63.69,
Lake shore connection,560.0,574.23,81.81,60.72,
Lake shore connection,565.0,570.36,81.90,57.56,
Lake shore connection,570.0,566.61,81.92,54.25,
Lake shore connection,575.0,562.97,81.93,50.83,
Lake shore connection,580.0,559.43,81.95,47.30,
Lake shore connection,585.0,555.97,81.72,43.71,
Lake shore connection,590.0,552.59,81.12,40.07,
Lake shore connection,595.0,549.25,81.49,36.39,
Lake shore connection,600.0,545.95,82.09,32.69,
Lake shore connection,605.0,542.68,82.24,28.91,
Lake shore connection,610.0,539.51,82.39,25.05,
Lake shore connection,615.0,536.49,82.54,21.06,
Lake shore connection,620.0,533.70,82.67,16.92,
Lake shore connection,625.0,531.21,82.79,12.58,
Lake shore connection,630.0,529.12,82.89,8.05,
Lake shore connection,635.0,527.48,82.96,3.33,
Lake shore connection,640.0,526.37,83.00,-1.55,
Lake shore connection,645.0,525.84,82.99,-6.51,
Lake shore connection,650.0,526.04,82.96,-11.50,
Lake shore connection,655.0,526.75,82.90,-16.45,
Lake shore connection,660.0,527.77,82.82,-21.34,
Lake shore connection,665.0,529.00,82.74,-26.19,
Lake shore connection,670.0,530.36,82.64,-31.00,
Lake shore connection,675.0,531.79,82.54,-35.79,
Lake shore connection,680.0,533.24,82.42,-40.57,
Lake shore connection,685.0,534.64,82.31,-45.37,
Lake shore connection,690.0,535.89,82.18,-50.21,
Lake shore connection,695.0,536.81,82.05,-55.12,
Lake shore connection,700.0,537.13,81.90,-60.11,
Lake shore connection,705.0,537.12,81.66,-65.10,
Lake shore connection,710.0,536.57,81.35,-70.05,
Lake shore connection,715.0,534.69,81.02,-74.62,
Lake shore connection,720.0,530.45,80.99,-76.93,
Lake shore connection,725.0,525.54,81.32,-76.29,
Lake shore connection,730.0,520.86,81.74,-74.59,
Lake shore connection,735.0,516.36,82.17,-72.45,
Lake shore connection,740.0,512.01,82.60,-70.03,
Lake shore connection,745.0,507.80,83.20,-67.40,
Lake shore connection,750.0,503.91,84.76,-64.69,
Lake shore connection,755.0,500.19,86.42,-61.80,
Lake shore connection,760.0,496.56,87.56,-58.56,
Lake shore connection,765.0,493.19,87.97,-54.90,
Lake shore connection,770.0,490.11,87.93,-50.96,
Lake shore connection,775.0,487.22,87.87,-46.88,
Lake shore connection,780.0,484.47,87.80,-42.71,
Lake shore connection,785.0,481.82,87.59,-38.47,
Lake shore connection,790.0,479.24,87.19,-34.21,
Lake shore connection,795.0,476.71,86.62,-29.93,
Lake shore connection,800.0,474.18,85.97,-25.67,
