"course","vehicle","speed","line","seconds","travel","air","minUp","recovered","outcome","scoredDistance","scoredAirtime","awards","contactCorrections","Matrix"
"Street Loop","original","43","-3","5.441","192.014","2.840","0.964","True","completed","109.807","2.840","0","0","high-StreetLoopGreybox-race-no"
"Street Loop","original","43","0","5.420","191.235","2.820","0.964","True","completed","108.756","2.820","0","0","high-StreetLoopGreybox-race-no"
"Street Loop","original","43","-4.7","4.985","172.588","2.460","0.533","True","completed","0.000","0.000","0","11","high-StreetLoopGreybox-race-no"
"Street Loop","original","43","1.7","4.890","167.371","2.500","0.458","True","completed","0.000","0.000","0","12","high-StreetLoopGreybox-race-no"
"Street Loop","tourer","43","-1.5","5.399","189.418","2.780","0.963","True","completed","107.350","2.780","0","0","high-StreetLoopGreybox-race-no"
"Street Loop","tourer","43","-3","5.394","189.368","2.780","0.963","True","completed","107.378","2.780","0","0","high-StreetLoopGreybox-race-no"
"Street Loop","tourer","43","0","5.398","189.481","2.780","0.963","True","completed","107.348","2.780","0","0","high-StreetLoopGreybox-race-no"
"Street Loop","tourer","43","-4.7","5.001","171.665","2.720","0.495","True","completed","0.000","0.000","0","13","high-StreetLoopGreybox-race-no"
"Street Loop","tourer","43","1.7","7.101","150.555","0.880","0.380","True","completed","0.000","0.000","0","16","high-StreetLoopGreybox-race-no"
"Street Loop","moto","43","-1.5","5.437","193.263","2.840","0.957","True","completed","111.193","2.840","0","220","high-StreetLoopGreybox-race-no"
"Street Loop","moto","43","-3","5.427","193.384","2.840","0.957","True","completed","111.261","2.840","0","216","high-StreetLoopGreybox-race-no"
"Street Loop","moto","43","0","5.459","194.123","2.860","0.957","True","completed","111.983","2.860","0","211","high-StreetLoopGreybox-race-no"
"Street Loop","moto","43","-4.7","22.631","190.808","20.400","-0.920","True","stalled/crashed","0.000","0.000","0","127","high-StreetLoopGreybox-race-no"
"Street Loop","moto","43","1.7","22.637","412.193","20.480","-0.925","True","stalled/crashed","0.000","0.000","0","152","high-StreetLoopGreybox-race-no"
"Street Loop","atv","43","-1.5","5.454","193.627","2.860","0.959","True","completed","111.533","2.860","0","207","high-StreetLoopGreybox-race-no"
"Street Loop","atv","43","-3","5.457","193.204","2.860","0.960","True","completed","111.336","2.860","0","187","high-StreetLoopGreybox-race-no"
"Street Loop","atv","43","0","5.457","193.257","2.860","0.960","True","completed","111.383","2.860","0","205","high-StreetLoopGreybox-race-no"
"Street Loop","atv","43","-4.7","4.325","150.584","1.980","0.569","True","completed","79.543","1.980","0","79","high-StreetLoopGreybox-race-no"
"Street Loop","atv","43","1.7","4.822","168.707","2.540","-0.552","True","completed","0.000","0.000","0","110","high-StreetLoopGreybox-race-no"
"Street Loop","original","43","-1.5","5.440","191.248","2.820","0.964","True","completed","108.768","2.820","0","0","high-StreetLoopGreybox-roam-no"
"Street Loop","original","43","-3","5.460","192.014","2.840","0.964","True","completed","109.807","2.840","0","0","high-StreetLoopGreybox-roam-no"
"Street Loop","original","43","0","5.440","191.235","2.820","0.964","True","completed","108.756","2.820","0","0","high-StreetLoopGreybox-roam-no"
"Street Loop","original","43","-4.7","5.000","172.588","2.460","0.533","True","completed","0.000","0.000","0","11","high-StreetLoopGreybox-roam-no"
"Street Loop","original","43","1.7","4.900","167.371","2.500","0.458","True","completed","0.000","0.000","0","12","high-StreetLoopGreybox-roam-no"
"Street Loop","tourer","43","-1.5","5.400","190.001","2.780","0.963","True","completed","107.662","2.780","0","0","high-StreetLoopGreybox-roam-no"
"Street Loop","tourer","43","-3","5.400","189.369","2.780","0.963","True","completed","107.379","2.780","0","0","high-StreetLoopGreybox-roam-no"
"Street Loop","tourer","43","0","5.400","189.481","2.780","0.963","True","completed","107.347","2.780","0","0","high-StreetLoopGreybox-roam-no"
"Street Loop","tourer","43","-4.7","5.020","171.665","2.720","0.495","True","completed","0.000","0.000","0","13","high-StreetLoopGreybox-roam-no"
"Street Loop","tourer","43","1.7","7.140","150.299","0.920","0.380","True","completed","0.000","0.000","0","15","high-StreetLoopGreybox-roam-no"
"Street Loop","moto","43","-1.5","5.440","193.263","2.840","0.957","True","completed","111.193","2.840","0","220","high-StreetLoopGreybox-roam-no"
"Street Loop","moto","43","-3","5.440","193.384","2.840","0.957","True","completed","111.261","2.840","0","216","high-StreetLoopGreybox-roam-no"
"Street Loop","moto","43","0","5.460","194.123","2.860","0.957","True","completed","111.983","2.860","0","212","high-StreetLoopGreybox-roam-no"
"Street Loop","moto","43","-4.7","10.620","150.282","5.740","-0.954","True","completed","0.000","0.000","0","157","high-StreetLoopGreybox-roam-no"
"Street Loop","moto","43","1.7","22.640","412.255","20.480","-0.925","True","stalled/crashed","0.000","0.000","0","151","high-StreetLoopGreybox-roam-no"
"Street Loop","atv","43","-1.5","5.460","193.627","2.860","0.959","True","completed","111.533","2.860","0","207","high-StreetLoopGreybox-roam-no"
"Street Loop","atv","43","-3","5.460","193.204","2.860","0.960","True","completed","111.336","2.860","0","187","high-StreetLoopGreybox-roam-no"
"Street Loop","atv","43","0","5.460","193.257","2.860","0.960","True","completed","111.383","2.860","0","205","high-StreetLoopGreybox-roam-no"
"Street Loop","atv","43","-4.7","4.320","150.140","2.000","0.529","True","completed","80.285","2.000","0","79","high-StreetLoopGreybox-roam-no"
"Street Loop","atv","43","1.7","4.840","168.707","2.540","-0.552","True","completed","0.000","0.000","0","110","high-StreetLoopGreybox-roam-no"
"Street Loop","original","43","-1.5","5.880","196.137","3.260","0.937","True","completed","115.044","3.260","0","0","high-StreetLoopGreybox-roam-yes"
"Street Loop","original","43","-3","5.880","195.961","3.260","0.937","True","completed","115.070","3.260","0","1","high-StreetLoopGreybox-roam-yes"
"Street Loop","original","43","0","5.880","196.253","3.260","0.937","True","completed","115.046","3.260","0","0","high-StreetLoopGreybox-roam-yes"
"Street Loop","original","43","-4.7","5.060","170.738","2.580","0.404","True","cleared / unstable landing","0.000","0.000","0","12","high-StreetLoopGreybox-roam-yes"
"Street Loop","original","43","1.7","5.260","175.572","2.780","0.587","True","completed","99.404","2.780","0","8","high-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","43","-1.5","5.840","195.928","3.220","0.937","True","completed","114.993","3.220","0","0","high-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","43","-3","5.840","195.977","3.240","0.936","True","completed","115.395","3.240","0","0","high-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","43","0","5.860","196.148","3.260","0.936","True","completed","116.120","3.260","0","0","high-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","43","-4.7","5.460","183.544","2.900","0.810","True","completed","104.308","2.900","0","3","high-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","43","1.7","4.820","164.744","2.420","0.373","True","completed","0.000","0.000","0","9","high-StreetLoopGreybox-roam-yes"
"Street Loop","moto","43","-1.5","5.860","200.795","3.280","0.934","True","completed","120.340","3.280","0","75","high-StreetLoopGreybox-roam-yes"
"Street Loop","moto","43","-3","5.880","201.844","3.300","0.933","True","completed","121.371","3.300","0","78","high-StreetLoopGreybox-roam-yes"
"Street Loop","moto","43","0","5.860","200.685","3.280","0.934","True","completed","120.279","3.280","0","78","high-StreetLoopGreybox-roam-yes"
"Street Loop","moto","43","-4.7","4.900","167.657","2.600","-0.607","True","completed","97.723","2.600","0","105","high-StreetLoopGreybox-roam-yes"
"Street Loop","moto","43","1.7","5.080","176.411","2.660","0.262","True","completed","0.000","0.000","0","98","high-StreetLoopGreybox-roam-yes"
"Street Loop","atv","43","-1.5","5.880","199.856","3.300","0.934","True","completed","119.551","3.300","0","75","high-StreetLoopGreybox-roam-yes"
"Street Loop","atv","43","-3","5.880","199.672","3.300","0.934","True","completed","119.363","3.300","0","73","high-StreetLoopGreybox-roam-yes"
"Street Loop","atv","43","0","5.900","200.366","3.320","0.934","True","completed","120.072","3.320","0","59","high-StreetLoopGreybox-roam-yes"
"Street Loop","atv","43","-4.7","5.040","171.406","2.740","0.726","True","completed","102.005","2.740","0","73","high-StreetLoopGreybox-roam-yes"
"Street Loop","atv","43","1.7","5.080","173.845","2.720","0.540","True","completed","101.939","2.720","0","95","high-StreetLoopGreybox-roam-yes"
"Street Loop Reverse","original","43","-1.5","4.234","150.104","1.580","0.991","True","completed","65.365","1.580","0","0","high-StreetLoopReverse-race-no"
"Street Loop Reverse","original","43","-3","4.239","150.024","1.580","0.991","True","completed","65.358","1.580","0","0","high-StreetLoopReverse-race-no"
"Street Loop Reverse","original","43","0","4.239","150.190","1.580","0.991","True","completed","65.360","1.580","0","0","high-StreetLoopReverse-race-no"
"Street Loop Reverse","original","43","-4.7","4.243","150.342","1.420","0.943","True","completed","59.056","1.420","0","2","high-StreetLoopReverse-race-no"
"Street Loop Reverse","original","43","1.7","4.246","150.402","1.540","0.942","True","completed","63.768","1.540","0","3","high-StreetLoopReverse-race-no"
"Street Loop Reverse","tourer","43","-1.5","4.231","150.501","1.580","0.992","True","completed","65.582","1.580","0","0","high-StreetLoopReverse-race-no"
"Street Loop Reverse","tourer","43","-3","4.237","150.505","1.580","0.992","True","completed","65.582","1.580","0","0","high-StreetLoopReverse-race-no"
"Street Loop Reverse","tourer","43","0","4.227","150.504","1.580","0.992","True","completed","65.582","1.580","0","0","high-StreetLoopReverse-race-no"
"Street Loop Reverse","tourer","43","-4.7","4.243","150.397","1.480","0.944","True","completed","61.373","1.480","0","6","high-StreetLoopReverse-race-no"
"Street Loop Reverse","tourer","43","1.7","4.256","150.372","1.440","0.964","True","completed","59.875","1.440","0","4","high-StreetLoopReverse-race-no"
"Street Loop Reverse","moto","43","-1.5","4.204","150.572","1.680","0.970","True","completed","70.012","1.680","0","208","high-StreetLoopReverse-race-no"
"Street Loop Reverse","moto","43","-3","4.206","150.574","1.680","0.969","True","completed","70.013","1.680","0","195","high-StreetLoopReverse-race-no"
"Street Loop Reverse","moto","43","0","4.212","150.513","1.680","0.968","True","completed","69.959","1.680","0","208","high-StreetLoopReverse-race-no"
"Street Loop Reverse","moto","43","-4.7","4.203","150.363","1.600","0.792","True","completed","66.732","1.600","0","86","high-StreetLoopReverse-race-no"
"Street Loop Reverse","moto","43","1.7","4.216","150.094","1.540","0.812","True","completed","64.386","1.540","0","101","high-StreetLoopReverse-race-no"
"Street Loop Reverse","atv","43","-1.5","4.238","151.058","1.720","0.987","True","completed","71.384","1.720","0","106","high-StreetLoopReverse-race-no"
"Street Loop Reverse","atv","43","-3","4.224","150.455","1.660","0.988","True","completed","68.649","1.660","0","154","high-StreetLoopReverse-race-no"
"Street Loop Reverse","atv","43","0","4.239","150.787","1.620","0.992","True","completed","67.262","1.620","0","116","high-StreetLoopReverse-race-no"
"Street Loop Reverse","atv","43","-4.7","4.238","150.314","1.600","0.978","True","completed","66.453","1.600","0","72","high-StreetLoopReverse-race-no"
"Street Loop Reverse","atv","43","1.7","4.225","150.210","1.620","0.986","True","completed","66.981","1.620","0","66","high-StreetLoopReverse-race-no"
"Street Loop Reverse","original","43","-1.5","4.240","150.104","1.580","0.991","True","completed","65.365","1.580","0","0","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","original","43","-3","4.240","150.024","1.580","0.991","True","completed","65.358","1.580","0","0","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","original","43","0","4.240","150.190","1.580","0.991","True","completed","65.360","1.580","0","0","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","original","43","-4.7","4.260","150.342","1.420","0.943","True","completed","59.056","1.420","0","2","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","original","43","1.7","4.260","150.402","1.540","0.942","True","completed","63.768","1.540","0","3","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","tourer","43","-1.5","4.240","150.501","1.580","0.992","True","completed","65.582","1.580","0","0","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","tourer","43","-3","4.240","150.505","1.580","0.992","True","completed","65.582","1.580","0","0","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","tourer","43","0","4.240","150.504","1.580","0.992","True","completed","65.582","1.580","0","0","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","tourer","43","-4.7","4.260","150.397","1.480","0.944","True","completed","61.373","1.480","0","6","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","tourer","43","1.7","4.260","150.372","1.440","0.964","True","completed","59.875","1.440","0","4","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","moto","43","-1.5","4.220","150.572","1.680","0.970","True","completed","70.012","1.680","0","208","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","moto","43","-3","4.220","150.574","1.680","0.969","True","completed","70.013","1.680","0","195","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","moto","43","0","4.220","150.513","1.680","0.968","True","completed","69.959","1.680","0","208","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","moto","43","-4.7","4.220","150.363","1.600","0.792","True","completed","66.732","1.600","0","86","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","moto","43","1.7","4.220","150.094","1.540","0.812","True","completed","64.386","1.540","0","101","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","atv","43","-1.5","4.240","151.058","1.720","0.987","True","completed","71.384","1.720","0","106","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","atv","43","-3","4.240","150.455","1.660","0.988","True","completed","68.649","1.660","0","154","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","atv","43","0","4.240","150.787","1.620","0.992","True","completed","67.262","1.620","0","116","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","atv","43","-4.7","4.240","150.314","1.600","0.978","True","completed","66.453","1.600","0","72","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","atv","43","1.7","4.240","150.210","1.620","0.986","True","completed","66.981","1.620","0","66","high-StreetLoopReverse-roam-no"
"Street Loop Reverse","original","43","-1.5","4.660","163.793","1.980","0.982","True","completed","78.496","1.980","0","0","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","original","43","-3","4.660","163.896","1.980","0.982","True","completed","78.526","1.980","0","0","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","original","43","0","4.680","164.555","2.000","0.981","True","completed","79.262","2.000","0","0","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","original","43","-4.7","4.520","158.333","1.880","0.969","True","completed","74.586","1.880","0","5","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","original","43","1.7","4.480","157.214","1.840","0.967","True","completed","73.441","1.840","0","3","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","tourer","43","-1.5","4.620","163.091","1.940","0.982","True","completed","77.561","1.940","0","0","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","tourer","43","-3","4.620","162.963","1.940","0.982","True","completed","77.455","1.940","0","0","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","tourer","43","0","4.620","162.983","1.940","0.982","True","completed","77.467","1.940","0","0","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","tourer","43","-4.7","4.400","154.684","1.760","0.970","True","completed","70.754","1.760","0","3","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","tourer","43","1.7","4.480","157.379","1.880","0.971","True","completed","75.088","1.880","0","5","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","moto","43","-1.5","4.600","163.964","1.960","0.980","True","completed","79.505","1.960","0","74","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","moto","43","-3","4.620","164.724","1.980","0.979","True","completed","80.278","1.980","0","71","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","moto","43","0","4.600","163.955","1.960","0.979","True","completed","79.496","1.960","0","75","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","moto","43","-4.7","4.500","160.165","1.860","0.945","True","completed","75.720","1.860","0","109","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","moto","43","1.7","4.560","162.308","1.940","0.920","True","completed","78.681","1.940","0","103","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","atv","43","-1.5","4.660","165.782","2.000","0.980","True","completed","80.668","2.000","0","58","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","atv","43","-3","4.340","153.963","1.620","0.984","True","completed","66.384","1.620","0","90","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","atv","43","0","4.620","164.229","1.940","0.981","True","completed","78.329","1.940","0","84","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","atv","43","-4.7","4.500","159.159","1.900","0.969","True","completed","76.564","1.900","0","61","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","atv","43","1.7","4.520","160.202","1.900","0.970","True","completed","76.716","1.900","0","57","high-StreetLoopReverse-roam-yes"
"Street Loop Reverse","original","24","-10.3","6.920","150.353","0.000","0.924","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-race-no--10.3"
"Street Loop Reverse","tourer","24","-10.3","6.918","150.340","0.000","0.933","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-race-no--10.3"
"Street Loop Reverse","moto","24","-10.3","6.903","150.168","0.000","0.902","True","completed","0.000","0.000","0","111","outer-StreetLoopReverse-race-no--10.3"
"Street Loop Reverse","atv","24","-10.3","6.914","150.245","0.000","0.927","True","completed","0.000","0.000","0","3","outer-StreetLoopReverse-race-no--10.3"
"Street Loop Reverse","original","24","7.3","6.913","150.358","0.000","0.951","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-race-no-7.3"
"Street Loop Reverse","tourer","24","7.3","6.904","150.343","0.000","0.955","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-race-no-7.3"
"Street Loop Reverse","moto","24","7.3","6.904","150.161","0.000","0.901","True","completed","0.000","0.000","0","73","outer-StreetLoopReverse-race-no-7.3"
"Street Loop Reverse","atv","24","7.3","6.919","150.191","0.140","0.858","True","completed","0.000","0.000","0","53","outer-StreetLoopReverse-race-no-7.3"
"Street Loop Reverse","original","24","-10.3","6.920","150.353","0.000","0.924","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-no--10.3"
"Street Loop Reverse","tourer","24","-10.3","6.920","150.340","0.000","0.933","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-no--10.3"
"Street Loop Reverse","moto","24","-10.3","6.920","150.168","0.000","0.902","True","completed","0.000","0.000","0","111","outer-StreetLoopReverse-roam-no--10.3"
"Street Loop Reverse","atv","24","-10.3","6.920","150.245","0.000","0.927","True","completed","0.000","0.000","0","3","outer-StreetLoopReverse-roam-no--10.3"
"Street Loop Reverse","original","24","7.3","6.920","150.358","0.000","0.951","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-no-7.3"
"Street Loop Reverse","tourer","24","7.3","6.920","150.343","0.000","0.955","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-no-7.3"
"Street Loop Reverse","moto","24","7.3","6.920","150.161","0.000","0.901","True","completed","0.000","0.000","0","73","outer-StreetLoopReverse-roam-no-7.3"
"Street Loop Reverse","atv","24","7.3","6.920","150.191","0.140","0.858","True","completed","0.000","0.000","0","53","outer-StreetLoopReverse-roam-no-7.3"
"Street Loop Reverse","original","24","-10.3","6.920","150.292","0.000","0.928","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-yes--10.3"
"Street Loop Reverse","tourer","24","-10.3","6.920","150.274","0.000","0.936","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-yes--10.3"
"Street Loop Reverse","moto","24","-10.3","7.340","150.082","2.040","-0.164","True","completed","43.463","2.040","0","152","outer-StreetLoopReverse-roam-yes--10.3"
"Street Loop Reverse","atv","24","-10.3","6.920","150.416","0.000","0.930","True","completed","0.000","0.000","0","4","outer-StreetLoopReverse-roam-yes--10.3"
"Street Loop Reverse","original","24","7.3","6.920","150.295","0.000","0.951","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-yes-7.3"
"Street Loop Reverse","tourer","24","7.3","6.920","150.278","0.000","0.955","True","completed","0.000","0.000","0","0","outer-StreetLoopReverse-roam-yes-7.3"
"Street Loop Reverse","moto","24","7.3","7.000","150.382","0.940","0.873","True","completed","21.640","0.940","0","40","outer-StreetLoopReverse-roam-yes-7.3"
"Street Loop Reverse","atv","24","7.3","6.920","150.391","0.000","0.948","True","completed","0.000","0.000","0","9","outer-StreetLoopReverse-roam-yes-7.3"
"Forest Loop Reverse","moto","12","-1.5","13.800","150.200","1.520","0.911","True","completed","14.659","1.300","0","34","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","12","-3","13.540","150.107","1.280","0.932","True","completed","14.527","1.280","0","21","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","12","0","13.480","150.052","1.360","0.888","True","completed","15.290","1.360","0","35","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","12","-4.7","14.460","150.107","0.840","0.151","True","completed","0.000","0.000","0","239","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","12","1.7","13.400","150.208","1.300","-0.136","True","completed","0.000","0.000","0","292","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","24","-1.5","7.800","150.019","2.020","0.943","True","completed","44.889","2.020","0","124","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","24","-3","7.460","150.206","2.060","0.933","True","completed","45.568","2.060","0","129","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","24","0","8.460","150.169","2.020","0.944","True","completed","44.856","2.020","0","133","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","24","-4.7","9.440","150.065","2.000","-0.953","True","completed","0.000","0.000","0","153","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","24","1.7","7.360","150.289","2.460","0.792","True","completed","0.000","0.000","0","238","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","36","-1.5","5.500","165.714","2.540","0.958","True","completed","84.004","2.540","0","204","ramp-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","36","-3","5.500","165.710","2.540","0.958","True","completed","84.001","2.540","0","198","ramp-ForestLoopReverse-roam-no"
