time,x,y,z,speed,wheels,up,trafficNearJoin
2.439999,-767.8171,8.601071,537.0455,28.65693,4,0.9999999,2
2.459999,-767.2435,8.600796,537.0513,28.67827,4,0.9999999,2
2.479999,-766.6696,8.600515,537.0571,28.69755,4,0.9999999,2
2.499999,-766.0953,8.600231,537.0631,28.71497,4,0.9999999,2
2.519999,-765.5208,8.599943,537.0692,28.73071,4,0.9999999,2
2.539999,-764.9459,8.59965,537.0753,28.74493,4,0.9999999,2
2.559999,-764.3707,8.599354,537.0815,28.75779,4,0.9999999,2
2.579999,-763.7953,8.599053,537.0879,28.7694,4,0.9999999,2
2.599999,-763.2198,8.598748,537.0944,28.77991,4,0.9999999,2
2.619999,-762.644,8.598439,537.1009,28.78939,4,0.9999999,2
2.639999,-762.0681,8.598126,537.1075,28.79798,4,0.9999999,2
2.659999,-761.4921,8.59781,537.1142,28.80574,4,0.9999999,2
2.679999,-760.9158,8.597488,537.121,28.81276,4,0.9999999,2
2.699999,-760.3395,8.597163,537.1279,28.81911,4,0.9999999,2
2.719999,-759.763,8.596834,537.1348,28.82484,4,0.9999999,2
2.739999,-759.1865,8.596501,537.1419,28.83004,4,0.9999999,2
2.759999,-758.6098,8.596165,537.149,28.83473,4,0.9999999,2
2.779999,-758.0331,8.595824,537.1563,28.83898,4,0.9999999,2
2.799999,-757.4563,8.59548,537.1636,28.84282,4,0.9999999,2
2.819999,-756.8794,8.595132,537.171,28.8463,4,0.9999999,2
2.839999,-756.3024,8.59478,537.1784,28.84944,4,0.9999998,2
2.859999,-755.7253,8.594424,537.186,28.85228,4,0.9999998,2
2.879999,-755.1483,8.594065,537.1936,28.85485,4,0.9999998,2
2.899999,-754.5712,8.593701,537.2013,28.85718,4,0.9999998,2
2.919999,-753.9941,8.593334,537.209,28.85929,4,0.9999998,2
2.939999,-753.4169,8.592964,537.2169,28.8612,4,0.9999998,2
2.959999,-752.8397,8.59259,537.2249,28.86292,4,0.9999998,2
2.979999,-752.2625,8.592214,537.2328,28.86449,4,0.9999998,2
2.999999,-751.6852,8.591833,537.2409,28.8659,4,0.9999998,2
3.019999,-751.108,8.59145,537.249,28.86718,4,0.9999998,2
3.039999,-750.5306,8.591063,537.2572,28.86834,4,0.9999998,2
3.059999,-749.9533,8.590674,537.2654,28.86938,4,0.9999998,2
3.079999,-749.376,8.590281,537.2738,28.87034,4,0.9999998,2
3.099999,-748.7986,8.589886,537.2822,28.8712,4,0.9999998,2
3.119999,-748.2212,8.589487,537.2907,28.87198,4,0.9999998,2
3.139999,-747.6438,8.589086,537.2993,28.87268,4,0.9999998,2
3.159999,-747.0664,8.58868,537.3079,28.87332,4,0.9999998,2
3.179999,-746.489,8.588272,537.3165,28.8739,4,0.9999998,2
3.199999,-745.9116,8.587861,537.3253,28.87443,4,0.9999998,2
3.219999,-745.3342,8.587447,537.334,28.87491,4,0.9999998,2
3.239999,-744.7567,8.587029,537.3429,28.87535,4,0.9999998,2
3.259999,-744.1793,8.586609,537.3517,28.87574,4,0.9999998,2
3.279999,-743.6018,8.586185,537.3607,28.87609,4,0.9999998,2
3.299999,-743.0244,8.585759,537.3696,28.87642,4,0.9999998,2
3.319999,-742.4469,8.585329,537.3787,28.87671,4,0.9999998,2
3.339999,-741.8694,8.584896,537.3878,28.87697,4,0.9999998,2
3.359999,-741.292,8.58446,537.3969,28.87721,4,0.9999998,2
3.379999,-740.7145,8.584022,537.4061,28.87744,4,0.9999998,2
3.399999,-740.1371,8.583579,537.4154,28.87763,4,0.9999998,2
3.419999,-739.5596,8.583134,537.4247,28.87782,4,0.9999998,2
3.439999,-738.9822,8.582685,537.434,28.87798,4,0.9999998,2
3.459999,-738.4047,8.582234,537.4434,28.87813,4,0.9999997,2
3.479999,-737.8271,8.58178,537.4529,28.87827,4,0.9999997,2
3.499999,-737.2496,8.581324,537.4623,28.8784,4,0.9999997,2
3.519999,-736.6721,8.580864,537.4719,28.87852,4,0.9999997,2
3.539999,-736.0946,8.580401,537.4814,28.87862,4,0.9999997,2
3.559999,-735.5171,8.579937,537.491,28.87872,4,0.9999997,2
3.579999,-734.9395,8.57947,537.5007,28.8788,4,0.9999997,2
3.599999,-734.362,8.579,537.5104,28.87889,4,0.9999997,2
3.619999,-733.7845,8.578526,537.5201,28.87896,4,0.9999997,2
3.639999,-733.207,8.578051,537.5298,28.87902,4,0.9999997,2
3.659999,-732.6295,8.577573,537.5397,28.87909,4,0.9999997,2
3.679999,-732.0519,8.577092,537.5495,28.87914,4,0.9999997,2
3.699999,-731.4744,8.57661,537.5594,28.8792,4,0.9999997,2
3.719999,-730.8969,8.576125,537.5693,28.87924,4,0.9999997,2
3.739999,-730.3194,8.575638,537.5792,28.87929,4,0.9999997,2
3.759999,-729.7419,8.575149,537.5892,28.87933,4,0.9999997,2
3.779999,-729.1644,8.574657,537.5992,28.87937,4,0.9999997,2
3.799999,-728.5869,8.574163,537.6092,28.8794,4,0.9999996,2
3.819999,-728.0093,8.573668,537.6193,28.87944,4,0.9999996,2
3.839999,-727.4318,8.57317,537.6293,28.87947,4,0.9999996,2
3.859999,-726.8543,8.57267,537.6395,28.8795,4,0.9999996,2
3.879999,-726.2768,8.572167,537.6496,28.87952,4,0.9999996,2
3.899999,-725.6993,8.571663,537.6598,28.87955,4,0.9999996,2
3.919999,-725.1218,8.571157,537.67,28.87957,4,0.9999996,2
3.939999,-724.5443,8.570647,537.6802,28.87959,4,0.9999996,2
3.959999,-723.9667,8.570136,537.6904,28.87962,4,0.9999996,2
3.979999,-723.3892,8.569623,537.7007,28.87963,4,0.9999996,2
3.999999,-722.8117,8.569107,537.711,28.87965,4,0.9999996,2
4.019999,-722.2342,8.568589,537.7213,28.87967,4,0.9999996,2
4.039999,-721.6567,8.568069,537.7316,28.87968,4,0.9999996,2
4.059999,-721.0792,8.567548,537.742,28.8797,4,0.9999996,2
4.079998,-720.5016,8.567023,537.7524,28.87971,4,0.9999996,2
4.099998,-719.9241,8.566497,537.7628,28.87973,4,0.9999996,2
4.119998,-719.3466,8.565969,537.7731,28.87975,4,0.9999996,2
4.139998,-718.7691,8.565438,537.7836,28.87976,4,0.9999996,2
4.159998,-718.1916,8.564906,537.794,28.87977,4,0.9999996,2
4.179998,-717.6141,8.564371,537.8044,28.87979,4,0.9999996,2
4.199998,-717.0366,8.563834,537.8149,28.8798,4,0.9999996,2
4.219998,-716.459,8.563295,537.8254,28.87981,4,0.9999996,2
4.239998,-715.8815,8.562755,537.8359,28.87982,4,0.9999996,2
4.259998,-715.304,8.562212,537.8464,28.87983,4,0.9999996,2
4.279998,-714.7265,8.561667,537.8569,28.87984,4,0.9999996,2
4.299998,-714.149,8.561122,537.8674,28.87985,4,0.9999996,2
4.319998,-713.5715,8.560575,537.8779,28.87986,4,0.9999996,2
4.339998,-712.994,8.560025,537.8885,28.87987,4,0.9999996,2
4.359998,-712.4164,8.559474,537.899,28.87988,4,0.9999996,2
4.379999,-711.8389,8.558921,537.9096,28.87989,4,0.9999996,2
