"Mode","Case","Time","Before","At","AfterHalfSecond","Drop","VelocityBefore","VelocityAt","VelocityAfter","X","Y","Z","Travel","Throttle","Brake","Steering","Grounded","Water","Up","Lift","Torque","Contact"
"StreetLoopGreybox-roam-opposite-no","moto-24-1.7","5.580","17.367","16.230","20.880","1.137","24.636","23.083","21.052","-627.618","8.575","-23.797","126.203","1.000","0.000","-0.500","2","0.000","0.997","22.500","1.291","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","moto-24-1.7","5.600","16.230","14.714","21.032","1.516","23.083","20.152","21.211","-627.623","8.493","-23.418","126.583","1.000","0.000","-0.500","4","0.000","1.000","43.932","38.499","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","moto-36--4.7","2.140","33.436","26.992","-11.090","6.444","33.903","27.739","11.399","-632.023","12.354","-74.730","75.349","1.000","0.000","-0.500","0","0.000","-0.783","0.000","3.256","Takeoff - 40m x 6m, 6.2m rise:(-0.92, 0.37, -0.12)"
"StreetLoopGreybox-roam-opposite-no","moto-36--4.7","2.160","26.992","6.350","-11.128","20.642","27.739","11.812","11.457","-632.168","12.369","-74.560","75.522","1.000","0.000","-0.500","0","0.000","-0.827","0.000","3.428","Takeoff - 40m x 6m, 6.2m rise:(-0.81, 0.59, -0.03)"
"StreetLoopGreybox-roam-opposite-no","moto-36--4.7","2.180","6.350","3.627","-11.111","2.723","11.812","10.979","11.518","-632.327","12.381","-74.425","75.660","1.000","0.000","-0.500","0","0.000","-0.852","0.000","3.730","Takeoff - 40m x 6m, 6.2m rise:(-0.83, 0.55, 0.13)"
"StreetLoopGreybox-roam-opposite-no","moto-36-1.7","2.040","34.227","18.611","-6.389","15.616","34.229","19.038","6.585","-624.574","11.767","-78.171","71.787","0.863","0.000","0.399","0","0.000","-0.703","0.000","3.637","Takeoff - 40m x 6m, 6.2m rise:(0.89, 0.44, -0.10)"
"StreetLoopGreybox-roam-opposite-no","moto-36-1.7","2.060","18.611","4.639","-6.389","13.972","19.038","8.452","6.616","-624.476","11.831","-78.065","71.891","0.887","0.000","-0.469","0","0.000","-0.741","0.000","3.429","Takeoff - 40m x 6m, 6.2m rise:(0.89, 0.44, -0.10)"
"StreetLoopGreybox-roam-opposite-no","moto-36-1.7","2.080","4.639","2.109","-6.365","2.53","8.452","7.444","6.652","-624.376","11.893","-77.993","71.962","1.000","0.000","0.295","0","0.000","-0.772","0.000","3.661","Takeoff - 40m x 6m, 6.2m rise:(0.89, 0.44, -0.10)"
"StreetLoopGreybox-roam-opposite-no","original-24--3","5.440","-3.371","-4.449","3.094","1.078","24.125","21.998","5.701","-628.759","8.403","-25.235","124.785","1.000","0.000","0.500","4","0.000","1.000","45.000","2.067",""
"StreetLoopGreybox-roam-opposite-no","original-24--4.7","3.100","23.122","6.090","7.650","17.032","23.227","7.744","7.671","-632.094","11.612","-77.111","72.970","0.451","0.000","-0.500","3","0.000","0.642","17.154","1.617","Takeoff - 40m x 6m, 6.2m rise:(-0.72, 0.67, -0.18)"
"StreetLoopGreybox-roam-opposite-no","original-24-1.7","2.900","23.127","2.990","5.013","20.137","23.334","6.180","5.066","-624.292","10.787","-81.594","68.359","0.425","0.000","0.500","2","0.000","0.783","13.599","11.087","Takeoff - 40m x 6m, 6.2m rise:(0.58, 0.80, -0.15)"
"StreetLoopGreybox-roam-opposite-no","original-36--4.7","4.080","14.669","12.900","21.343","1.769","33.882","32.399","24.336","-635.821","8.686","-10.497","139.636","1.000","0.000","-0.500","2","0.000","0.991","22.500","1.903",""
"StreetLoopGreybox-roam-opposite-no","tourer-12-1.7","6.100","11.465","2.367","5.667","9.098","11.496","3.254","5.736","-624.210","11.503","-78.547","71.404","0.273","0.000","0.500","2","0.000","0.789","13.727","2.105","Takeoff - 40m x 6m, 6.2m rise:(0.58, 0.79, -0.18)"
"StreetLoopGreybox-roam-opposite-no","tourer-24--4.7","4.000","14.597","13.575","20.619","1.022","22.134","20.720","20.678","-635.170","8.624","-57.383","92.746","1.000","0.000","-0.500","3","0.000","0.915","11.506","15.625","Ground_80_320:(-0.06, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","tourer-24-1.7","2.840","23.223","3.803","6.079","19.42","23.257","5.533","6.115","-624.246","10.677","-83.087","66.866","0.357","0.000","-0.498","2","0.000","0.826","8.867","13.703","Takeoff - 40m x 6m, 6.2m rise:(0.52, 0.84, -0.15)"
"StreetLoopGreybox-roam-opposite-no","tourer-36--4.7","2.140","33.360","0.722","-0.182","32.638","33.701","8.651","4.552","-632.057","12.102","-75.580","74.501","1.000","0.000","-0.500","2","0.000","0.601","9.772","18.350",""
"StreetLoopGreybox-roam-opposite-yes","atv-24--4.7","5.400","21.120","19.895","23.420","1.225","23.874","20.636","23.421","-632.155","8.113","-108.369","123.282","1.000","0.000","0.500","4","0.000","1.000","45.000","22.530","Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.01)"
"StreetLoopGreybox-roam-opposite-yes","atv-36--4.7","4.580","-26.285","-27.621","-27.621","1.336","33.555","32.192","32.192","-635.395","8.096","-137.415","152.271","1.000","0.000","0.500","2","0.000","0.982","22.500","4.223","Ground_80_240:(-0.06, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-yes","atv-36-1.7","4.560","-26.511","-27.708","-27.708","1.197","33.650","32.232","32.232","-619.606","8.207","-136.995","152.112","1.000","0.000","0.500","2","0.000","0.985","22.500","4.244","Ground_80_240:(0.01, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-yes","moto-24-1.7","5.340","-16.282","-17.719","-4.496","1.437","23.760","22.789","4.516","-624.059","8.524","-104.813","119.861","1.000","0.000","-0.500","1","0.000","0.957","11.250","0.956","Takeoff - 40m x 6m, 6.2m rise:(0.07, 1.00, -0.04)"
"StreetLoopGreybox-roam-opposite-yes","moto-36--4.7","4.620","-18.157","-20.739","-23.158","2.582","33.742","32.847","31.182","-631.592","8.441","-139.469","154.388","1.000","0.000","0.500","0","0.000","0.944","0.000","1.062","Ground_80_240:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-yes","moto-36--4.7","4.640","-20.739","-23.158","-23.158","2.419","32.847","31.182","31.182","-631.624","8.277","-140.092","155.010","1.000","0.000","0.500","2","0.000","0.980","22.500","30.491","Ground_80_240:(-0.01, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.080","7.928","6.917","-18.661","1.011","32.239","32.219","32.095","-623.983","17.323","-91.272","106.323","1.000","0.000","-0.500","0","0.000","0.311","0.000","1.395",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.100","6.917","5.895","-19.511","1.022","32.219","32.199","32.105","-623.972","17.347","-91.918","106.969","1.000","0.000","-0.500","0","0.000","0.326","0.000","1.368",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.120","5.895","4.861","-20.333","1.034","32.199","32.181","32.117","-623.962","17.366","-92.564","107.614","1.000","0.000","-0.500","0","0.000","0.341","0.000","1.341",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.140","4.861","3.818","-21.127","1.043","32.181","32.164","32.130","-623.952","17.382","-93.209","108.259","1.000","0.000","-0.500","0","0.000","0.356","0.000","1.313",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.160","3.818","2.766","-21.890","1.052","32.164","32.149","32.144","-623.942","17.394","-93.853","108.904","1.000","0.000","-0.500","0","0.000","0.372","0.000","1.286",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.180","2.766","1.707","-22.621","1.059","32.149","32.134","32.159","-623.932","17.402","-94.497","109.548","1.000","0.000","-0.500","0","0.000","0.388","0.000","1.259",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.200","1.707","0.642","-23.320","1.065","32.134","32.121","32.176","-623.922","17.406","-95.140","110.192","1.000","0.000","-0.500","0","0.000","0.404","0.000","1.232",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.220","0.642","-0.428","-23.986","1.07","32.121","32.109","32.193","-623.912","17.407","-95.783","110.834","1.000","0.000","-0.500","0","0.000","0.421","0.000","1.204",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.240","-0.428","-1.502","-24.617","1.074","32.109","32.098","32.212","-623.902","17.403","-96.426","111.477","1.000","0.000","-0.500","0","0.000","0.438","0.000","1.177",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.260","-1.502","-2.576","-25.212","1.074","32.098","32.088","32.232","-623.892","17.396","-97.068","112.119","1.000","0.000","-0.500","0","0.000","0.455","0.000","1.149",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.280","-2.576","-3.651","-25.772","1.075","32.088","32.079","32.253","-623.882","17.385","-97.709","112.760","1.000","0.000","-0.500","0","0.000","0.472","0.000","1.122",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.300","-3.651","-4.725","-26.296","1.074","32.079","32.072","32.275","-623.873","17.370","-98.349","113.401","1.000","0.000","-0.500","0","0.000","0.489","0.000","1.094",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.320","-4.725","-5.796","-26.782","1.071","32.072","32.066","32.298","-623.863","17.351","-98.990","114.041","1.000","0.000","-0.500","0","0.000","0.506","0.000","1.067",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.340","-5.796","-6.861","-27.232","1.065","32.066","32.061","32.323","-623.853","17.328","-99.629","114.681","1.000","0.000","-0.500","0","0.000","0.524","0.000","1.039",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.360","-6.861","-7.921","-27.644","1.06","32.061","32.057","32.348","-623.844","17.301","-100.268","115.320","1.000","0.000","-0.500","0","0.000","0.541","0.000","1.011",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.380","-7.921","-8.972","-28.018","1.051","32.057","32.055","32.375","-623.834","17.270","-100.907","115.958","1.000","0.000","-0.500","0","0.000","0.559","0.000","0.984",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.400","-8.972","-10.014","-28.355","1.042","32.055","32.053","32.403","-623.824","17.236","-101.545","116.596","1.000","0.000","-0.500","0","0.000","0.576","0.000","0.956",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.420","-10.014","-11.043","-28.654","1.029","32.053","32.053","32.432","-623.815","17.197","-102.182","117.234","1.000","0.000","-0.500","0","0.000","0.593","0.000","0.929",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.440","-11.043","-12.060","-28.916","1.017","32.053","32.054","32.462","-623.805","17.154","-102.819","117.871","1.000","0.000","-0.500","0","0.000","0.610","0.000","0.902",""
