time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
4.020,YOU reference pilot,322.502,10.870,538.180,11.129,4,none,0.000,0.000,0.000,4647.875,0,0,0.000,0
4.020,EMBER,318.103,12.351,530.478,10.309,4,none,0.000,0.000,0.000,4655.706,0,0,0.000,0
4.020,GOLD,322.221,13.967,521.563,14.040,4,none,0.000,0.000,0.000,4664.596,0,0,0.000,0
4.020,BLUE,317.693,15.312,515.283,13.096,4,none,0.000,0.000,0.000,4671.187,0,0,0.000,0
4.140,YOU reference pilot,322.568,11.128,536.794,12.214,4,none,0.000,0.000,0.000,4649.239,0,0,0.000,0
4.140,EMBER,318.131,12.605,529.194,11.340,4,none,0.000,0.000,0.000,4656.994,0,0,0.000,0
4.140,GOLD,322.172,14.322,519.818,15.412,4,none,0.000,0.000,0.000,4666.345,0,0,0.000,0
4.140,BLUE,317.684,15.654,513.658,14.364,4,none,0.000,0.000,0.000,4672.823,0,0,0.000,0
4.280,YOU reference pilot,322.632,11.461,535.019,13.428,4,none,0.000,0.000,0.000,4650.999,0,0,0.000,0
4.280,EMBER,318.163,12.932,527.546,12.499,4,none,0.000,0.000,0.000,4658.662,0,0,0.000,0
4.280,GOLD,322.106,14.784,517.586,16.947,4,none,0.000,0.000,0.000,4668.593,0,0,0.000,0
4.280,BLUE,317.673,16.099,511.581,15.780,4,none,0.000,0.000,0.000,0.801,1,0,0.000,0
4.420,YOU reference pilot,322.680,11.828,533.082,14.586,4,none,0.000,0.000,0.000,4652.928,0,0,0.000,0
4.420,EMBER,318.192,13.294,525.743,13.612,4,none,0.000,0.000,0.000,4660.487,0,0,0.000,0
4.420,GOLD,322.029,15.296,515.150,18.413,4,none,0.000,0.000,0.000,4671.053,0,0,0.000,0
4.420,BLUE,317.659,16.590,509.317,17.130,4,none,0.000,0.000,0.000,3.090,1,0,0.000,0
4.540,YOU reference pilot,322.706,12.172,531.298,15.536,4,none,0.000,0.000,0.000,4654.708,0,0,0.000,0
4.540,EMBER,318.209,13.631,524.079,14.530,4,none,0.000,0.000,0.000,4662.173,0,0,0.000,0
4.540,GOLD,321.956,15.774,512.908,19.615,4,none,0.000,0.000,0.000,4673.323,0,0,0.000,0
4.540,BLUE,317.641,17.048,507.233,18.237,4,none,0.000,0.000,0.000,5.199,1,0,0.000,0
