"Period","Difficulty","Racer","Lap","FromExpectedGate","ToExpectedGate","Seconds","CumulativeMisses"
"CR034-039","2","BLUE","3","11","12","5.8","0"
"CR034-039","2","BLUE","3","12","13","7.56","0"
"CR034-039","2","BLUE","3","13","14","4.76","0"
"CR034-039","2","BLUE","3","14","15","4.5","0"
"CR034-039","2","BLUE","3","15","16","4.54","0"
"CR034-039","2","BLUE","3","16","17","5.28","0"
"CR034-039","2","BLUE","3","17","18","6.28","0"
"CR034-039","2","BLUE","3","18","19","4.5","0"
"CR034-039","2","BLUE","3","19","0","4.8","0"
"CR034-039","2","EMBER","1","0","1","2.244","0"
"CR034-039","2","EMBER","1","1","2","8.26","0"
"CR034-039","2","EMBER","1","2","3","7.76","0"
"CR034-039","2","EMBER","1","3","4","7.5","0"
"CR034-039","2","EMBER","1","4","5","7.52","0"
"CR034-039","2","EMBER","1","5","6","6.74","0"
"CR034-039","2","EMBER","1","6","7","9.28","0"
"CR034-039","2","EMBER","1","7","8","8.74","0"
"CR034-039","2","EMBER","1","8","9","8","0"
"CR034-039","2","EMBER","1","9","10","7.02","0"
"CR034-039","2","EMBER","1","10","11","6.24","0"
"CR034-039","2","EMBER","1","11","12","6.26","0"
"CR034-039","2","EMBER","1","12","13","8.24","0"
"CR034-039","2","EMBER","1","13","14","5.5","0"
"CR034-039","2","EMBER","1","14","15","4.76","0"
"CR034-039","2","EMBER","1","15","16","5","0"
"CR034-039","2","EMBER","1","16","17","5.74","0"
"CR034-039","2","EMBER","1","17","18","7.02","0"
"CR034-039","2","EMBER","1","18","19","5","0"
"CR034-039","2","EMBER","1","19","0","5.24","0"
"CR034-039","2","EMBER","1","0","1","9","0"
"CR034-039","2","EMBER","2","1","2","7.78","0"
"CR034-039","2","EMBER","2","2","3","7.8","0"
"CR034-039","2","EMBER","2","3","4","7.26","0"
"CR034-039","2","EMBER","2","4","5","7.5","0"
"CR034-039","2","EMBER","2","5","6","6.76","0"
"CR034-039","2","EMBER","2","6","7","9.26","0"
"CR034-039","2","EMBER","2","7","8","8.74","0"
"CR034-039","2","EMBER","2","8","9","8.02","0"
"CR034-039","2","EMBER","2","9","10","7.06","0"
"CR034-039","2","EMBER","2","10","11","6.26","0"
"CR034-039","2","EMBER","2","11","12","6","0"
"CR034-039","2","EMBER","2","12","13","8.54","0"
"CR034-039","2","EMBER","2","13","14","5.26","0"
"CR034-039","2","EMBER","2","14","15","4.8","0"
"CR034-039","2","EMBER","2","15","16","5","0"
"CR034-039","2","EMBER","2","16","17","5.76","0"
"CR034-039","2","EMBER","2","17","18","7.06","0"
"CR034-039","2","EMBER","2","18","19","5.1","0"
"CR034-039","2","EMBER","2","19","0","5.04","0"
"CR034-039","2","EMBER","2","0","1","9.02","0"
"CR034-039","2","EMBER","3","1","2","7.78","0"
"CR034-039","2","EMBER","3","2","3","7.76","0"
"CR034-039","2","EMBER","3","3","4","7.26","0"
"CR034-039","2","EMBER","3","4","5","7.76","0"
"CR034-039","2","EMBER","3","5","6","6.5","0"
"CR034-039","2","EMBER","3","6","7","9.46","0"
"CR034-039","2","EMBER","3","7","8","8.58","0"
"CR034-039","2","EMBER","3","8","9","8","0"
"CR034-039","2","EMBER","3","9","10","7.04","0"
"CR034-039","2","EMBER","3","10","11","6.54","0"
"CR034-039","2","EMBER","3","11","12","5.82","0"
"CR034-039","2","EMBER","3","12","13","8.64","0"
"CR034-039","2","EMBER","3","13","14","5.28","0"
"CR034-039","2","EMBER","3","14","15","4.78","0"
"CR034-039","2","EMBER","3","15","16","5.04","0"
"CR034-039","2","EMBER","3","16","17","5.76","0"
"CR034-039","2","EMBER","3","17","18","7.02","0"
"CR034-039","2","EMBER","3","18","19","5.04","0"
"CR034-039","2","EMBER","3","19","0","5.02","0"
"CR034-039","2","EMBER","3","0","0","9.04","0"
"CR034-039","2","GOLD","1","0","1","1.744","0"
"CR034-039","2","GOLD","1","1","2","8","0"
"CR034-039","2","GOLD","1","2","3","8.28","0"
"CR034-039","2","GOLD","1","3","4","7","0"
"CR034-039","2","GOLD","1","4","5","7.5","0"
"CR034-039","2","GOLD","1","5","6","6.26","0"
"CR034-039","2","GOLD","1","6","7","8.26","0"
"CR034-039","2","GOLD","1","7","8","8.5","0"
"CR034-039","2","GOLD","1","8","9","7.76","0"
"CR034-039","2","GOLD","1","9","10","6.74","0"
"CR034-039","2","GOLD","1","10","11","6.02","0"
"CR034-039","2","GOLD","1","11","12","5.5","0"
"CR034-039","2","GOLD","1","12","13","7.24","0"
"CR034-039","2","GOLD","1","13","14","4.5","0"
"CR034-039","2","GOLD","1","14","15","4.26","0"
"CR034-039","2","GOLD","1","15","16","4","0"
"CR034-039","2","GOLD","1","16","17","5","0"
"CR034-039","2","GOLD","1","17","18","6","0"
"CR034-039","2","GOLD","1","18","19","4.24","0"
"CR034-039","2","GOLD","1","19","0","4.26","0"
"CR034-039","2","GOLD","1","0","1","7.76","0"
"CR034-039","2","GOLD","2","1","2","7.74","0"
"CR034-039","2","GOLD","2","2","3","7.26","0"
"CR034-039","2","GOLD","2","3","4","7.3","0"
"CR034-039","2","GOLD","2","4","5","7.26","0"
"CR034-039","2","GOLD","2","5","6","6.26","0"
"CR034-039","2","GOLD","2","6","7","8.26","0"
"CR034-039","2","GOLD","2","7","8","8.52","0"
"CR034-039","2","GOLD","2","8","9","7.74","0"
"CR034-039","2","GOLD","2","9","10","6.76","0"
"CR034-039","2","GOLD","2","10","11","6","0"
"CR034-039","2","GOLD","2","11","12","5.5","0"
"CR034-039","2","GOLD","2","12","13","7.32","0"
"CR034-039","2","GOLD","2","13","14","4.52","0"
"CR034-039","2","GOLD","2","14","15","4","0"
"CR034-039","2","GOLD","2","15","16","4.28","0"
"CR034-039","2","GOLD","2","16","17","4.74","0"
"CR034-039","2","GOLD","2","17","18","6.02","0"
"CR034-039","2","GOLD","2","18","19","4.3","0"
"CR034-039","2","GOLD","2","19","0","4.26","0"
"CR034-039","2","GOLD","2","0","1","7.76","0"
"CR034-039","2","GOLD","3","1","2","7.82","0"
"CR034-039","2","GOLD","3","2","3","7.36","0"
"CR034-039","2","GOLD","3","3","4","7.02","0"
"CR034-039","2","GOLD","3","4","5","7.52","0"
"CR034-039","2","GOLD","3","5","6","6.28","0"
"CR034-039","2","GOLD","3","6","7","8.24","0"
"CR034-039","2","GOLD","3","7","8","8.26","0"
"CR034-039","2","GOLD","3","8","9","8.02","0"
"CR034-039","2","GOLD","3","9","10","6.54","0"
"CR034-039","2","GOLD","3","10","11","5.96","0"
"CR034-039","2","GOLD","3","11","12","5.52","0"
"CR034-039","2","GOLD","3","12","13","7.52","0"
"CR034-039","2","GOLD","3","13","14","4.28","0"
"CR034-039","2","GOLD","3","14","15","4.26","0"
"CR034-039","2","GOLD","3","15","16","4.02","0"
"CR034-039","2","GOLD","3","16","17","5.04","0"
"CR034-039","2","GOLD","3","17","18","5.84","0"
"CR034-039","2","GOLD","3","18","19","4.34","0"
"CR034-039","2","GOLD","3","19","0","4.26","0"
"CR034-039","2","GOLD","3","0","0","7.82","0"
"CR034-039","2","YOU reference pilot","1","0","1","2.744","0"
"CR034-039","2","YOU reference pilot","1","1","2","8","0"
"CR034-039","2","YOU reference pilot","1","2","3","7.78","0"
"CR034-039","2","YOU reference pilot","1","3","4","7.5","0"
"CR034-039","2","YOU reference pilot","1","4","5","7.5","0"
"CR034-039","2","YOU reference pilot","1","5","6","7","0"
"CR034-039","2","YOU reference pilot","1","6","7","9.52","0"
"CR034-039","2","YOU reference pilot","1","7","8","8.5","0"
"CR034-039","2","YOU reference pilot","1","8","9","8.26","0"
"CR034-039","2","YOU reference pilot","1","9","10","7","0"
"CR034-039","2","YOU reference pilot","1","10","11","6.5","0"
"CR034-039","2","YOU reference pilot","1","11","12","6","0"
"CR034-039","2","YOU reference pilot","1","12","13","8.5","0"
"CR034-039","2","YOU reference pilot","1","13","14","5.26","0"
"CR034-039","2","YOU reference pilot","1","14","15","5.24","0"
"CR034-039","2","YOU reference pilot","1","15","16","5","0"
"CR034-039","2","YOU reference pilot","1","16","17","6.5","0"
"CR034-039","2","YOU reference pilot","1","17","18","7.02","0"
"CR034-039","2","YOU reference pilot","1","18","19","5.74","0"
"CR034-039","2","YOU reference pilot","1","19","0","5.5","0"
"CR034-039","2","YOU reference pilot","1","0","1","9.5","0"
"CR034-039","2","YOU reference pilot","2","1","2","7.8","0"
"CR034-039","2","YOU reference pilot","2","2","3","7.78","0"
"CR034-039","2","YOU reference pilot","2","3","4","7.5","0"
"CR034-039","2","YOU reference pilot","2","4","5","8.02","0"
"CR034-039","2","YOU reference pilot","2","5","6","7.76","0"
"CR034-039","2","YOU reference pilot","2","6","7","9","0"
"CR034-039","2","YOU reference pilot","2","7","8","8.76","0"
"CR034-039","2","YOU reference pilot","2","8","9","8.3","0"
"CR034-039","2","YOU reference pilot","2","9","10","7.02","0"
"CR034-039","2","YOU reference pilot","2","10","11","6.5","0"
"CR034-039","2","YOU reference pilot","2","11","12","6.04","0"
"CR034-039","2","YOU reference pilot","2","12","13","8.26","0"
"CR034-039","2","YOU reference pilot","2","13","14","6.3","0"
"CR034-039","2","YOU reference pilot","2","14","15","5.5","0"
"CR034-039","2","YOU reference pilot","2","15","16","5.26","0"
"CR034-039","2","YOU reference pilot","2","16","17","6.3","0"
"CR034-039","2","YOU reference pilot","2","17","18","7.38","0"
"CR034-039","2","YOU reference pilot","2","18","19","5.78","0"
"CR034-039","2","YOU reference pilot","2","19","0","5.5","0"
"CR034-039","2","YOU reference pilot","2","0","1","10.3","0"
"CR034-039","2","YOU reference pilot","3","1","2","7.74","0"
"CR034-039","2","YOU reference pilot","3","2","3","7.76","0"
"CR034-039","2","YOU reference pilot","3","3","4","7.52","0"
"CR034-039","2","YOU reference pilot","3","4","5","7.52","0"
"CR034-039","2","YOU reference pilot","3","5","6","6.72","0"
"CR034-039","2","YOU reference pilot","3","6","7","9.16","0"
"CR034-039","2","YOU reference pilot","3","7","8","8.64","0"
"CR034-039","2","YOU reference pilot","3","8","9","8.3","0"
"CR034-039","2","YOU reference pilot","3","9","10","7.08","0"
"CR034-039","2","YOU reference pilot","3","10","11","6.36","0"
"CR034-039","2","YOU reference pilot","3","11","12","6.04","0"
"CR034-039","2","YOU reference pilot","3","12","13","8.58","0"
"CR034-039","2","YOU reference pilot","3","13","14","5.28","0"
"CR034-039","2","YOU reference pilot","3","14","15","5.26","0"
"CR034-039","2","YOU reference pilot","3","15","16","5.02","0"
"CR034-039","2","YOU reference pilot","3","16","17","5.78","0"
"CR034-039","2","YOU reference pilot","3","17","18","7.04","0"
"CR034-039","2","YOU reference pilot","3","18","19","5.26","0"
"CR034-039","2","YOU reference pilot","3","19","0","5.3","0"
"CR034-039","2","YOU reference pilot","3","0","0","9.28","0"
