time,x,y,z,speed,wheels,up
1.859999,-1038.885,8.759002,540.8763,7.189953,4,1
1.879999,-1038.736,8.759001,540.8671,7.432986,4,1
1.899999,-1038.583,8.759,540.8566,7.674301,4,1
1.919999,-1038.425,8.758999,540.8447,7.913896,4,1
1.939999,-1038.263,8.758998,540.8315,8.151768,4,1
1.959999,-1038.095,8.758997,540.8167,8.387915,4,1
1.979999,-1037.924,8.758996,540.8004,8.622334,4,1
1.999999,-1037.747,8.758995,540.7822,8.855023,4,1
2.019999,-1037.567,8.758994,540.7623,9.08598,4,1
2.039999,-1037.381,8.758993,540.7404,9.315208,4,1
2.059999,-1037.192,8.758992,540.7164,9.5427,4,1
2.079999,-1036.998,8.758991,540.6902,9.768453,4,1
2.099999,-1036.8,8.758991,540.6617,9.992468,4,1
2.119999,-1036.598,8.758991,540.6309,10.21474,4,1
2.139999,-1036.392,8.758991,540.5975,10.43528,4,1
2.159999,-1036.181,8.758991,540.5614,10.65408,4,1
2.179999,-1035.967,8.758991,540.5226,10.858,4,1
2.199999,-1035.75,8.758991,540.4811,11.02814,4,1
2.219999,-1035.531,8.758991,540.4369,11.17028,4,1
2.239999,-1035.31,8.758991,540.3901,11.28916,4,1
2.259999,-1035.087,8.758991,540.3406,11.38867,4,1
2.279999,-1034.863,8.758991,540.2884,11.47201,4,1
2.299999,-1034.639,8.758991,540.2335,11.54184,4,1
2.319999,-1034.413,8.758991,540.176,11.60036,4,1
2.339999,-1034.188,8.758991,540.1157,11.64939,4,1
2.359999,-1033.962,8.758991,540.0527,11.69048,4,1
2.379999,-1033.736,8.758991,539.9869,11.72491,4,1
2.399999,-1033.511,8.758991,539.9185,11.75374,4,1
2.419999,-1033.286,8.758991,539.8472,11.77788,4,1
2.439999,-1033.061,8.758991,539.7732,11.79809,4,1
2.459999,-1032.837,8.758991,539.6964,11.81499,4,1
2.479999,-1032.614,8.758991,539.6168,11.82913,4,1
2.499999,-1032.391,8.758991,539.5345,11.84093,4,1
2.519999,-1032.169,8.758991,539.4493,11.8508,4,1
2.539999,-1031.948,8.758991,539.3615,11.85903,4,1
2.559999,-1031.728,8.758991,539.2708,11.8659,4,1
2.579999,-1031.509,8.758991,539.1773,11.87161,4,1
2.599999,-1031.292,8.758991,539.0811,11.87638,4,1
2.619999,-1031.075,8.758991,538.9821,11.88034,4,1
2.639999,-1030.859,8.758991,538.8804,11.88364,4,1
2.659999,-1030.645,8.758991,538.7759,11.88638,4,1
2.679999,-1030.432,8.758991,538.6687,11.88865,4,1
2.699999,-1030.22,8.758991,538.5588,11.89054,4,1
2.719999,-1030.01,8.758991,538.4462,11.8921,4,1
2.739999,-1029.801,8.758991,538.3309,11.89339,4,1
2.759999,-1029.594,8.758991,538.2129,11.89446,4,1
2.779999,-1029.388,8.758991,538.0923,11.89534,4,1
2.799999,-1029.184,8.758991,537.969,11.89607,4,1
2.819999,-1028.981,8.758991,537.8431,11.89667,4,1
