x,y,z,gap
501.320,84.841,-124.199,0.000
461.403,85.704,-25.783,0.000
445.441,85.342,-39.287,0.000
485.457,88.007,-97.983,0.000
508.376,82.279,-144.864,0.000
471.122,88.298,-68.298,0.000
399.628,79.461,-41.541,0.000
505.608,76.731,-154.183,0.000
484.594,85.647,-122.680,0.000
451.063,85.828,-38.554,0.000
398.403,79.770,16.519,0.000
388.558,79.089,-20.910,0.000
461.696,82.484,-7.185,0.000
462.702,79.156,10.433,0.000
502.126,82.472,-127.083,0.000
467.303,88.041,-58.194,0.000
479.867,88.389,-87.152,0.000
448.252,85.593,-38.920,0.000
388.812,79.089,-12.213,0.000
518.233,67.199,-167.694,0.000
421.726,83.275,15.840,0.000
468.058,88.101,-60.367,0.000
402.544,79.917,-41.626,0.000
427.579,80.161,15.601,0.000
482.649,88.247,-92.603,0.000
389.403,79.093,8.078,0.000
388.896,79.089,-9.315,0.000
389.487,79.093,10.977,0.000
517.098,68.647,-165.041,0.000
442.630,85.074,-39.654,0.000
405.459,80.235,-41.711,0.000
498.065,76.574,-156.293,0.000
513.533,73.051,-156.766,0.000
451.075,78.376,14.376,0.000
434.196,84.297,-40.754,0.000
473.619,88.400,-74.085,0.000
502.327,82.306,-131.039,0.000
417.121,83.551,-42.051,0.000
428.574,82.893,-41.487,0.000
475.354,88.436,-77.876,0.000
478.949,88.415,-85.318,0.000
466.626,87.981,-56.141,0.000
439.819,84.798,-40.021,0.000
506.948,82.149,-144.318,0.000
461.429,83.619,-13.213,0.000
456.950,78.350,14.070,0.000
461.593,82.874,-9.211,0.000
388.474,79.090,-23.808,0.000
517.098,68.647,-165.041,0.000
459.887,78.410,13.917,0.000
459.497,86.872,-37.454,0.000
436.390,78.733,15.142,0.000
456.950,78.350,14.070,0.000
493.788,86.112,-113.803,0.000
492.153,85.206,-120.565,0.000
395.487,79.770,16.604,0.000
503.102,82.297,-132.738,0.000
468.790,88.155,-62.374,0.000
445.441,85.342,-39.287,0.000
392.572,79.692,16.689,0.000
389.318,79.092,5.179,0.000
389.149,79.091,-0.618,0.000
508.649,81.237,-150.398,0.000
516.392,69.508,-163.398,0.000
389.572,79.096,13.876,0.000
496.460,85.362,-118.993,0.000
495.579,85.530,-117.267,0.000
388.643,79.089,-18.011,0.000
462.165,80.961,0.774,0.000
462.898,87.370,-41.053,0.000
473.619,88.400,-74.085,0.000
464.790,87.801,-49.865,0.000
445.201,78.471,14.683,0.000
462.877,78.242,15.965,0.000
461.310,85.038,-21.533,0.000
442.264,78.543,14.836,0.000
414.205,83.528,-41.966,0.000
467.303,88.041,-58.194,0.000
475.354,88.436,-77.876,0.000
517.799,67.765,-166.679,0.000
388.389,79.091,-26.707,0.000
508.544,81.737,-150.025,0.000
411.290,82.973,-41.881,0.000
465.366,87.862,-51.976,0.000
500.525,85.312,-121.360,0.000
388.980,79.090,-6.416,0.000
430.516,79.039,15.448,0.000
477.035,84.581,-124.794,0.000
393.798,79.413,-41.371,0.000
495.932,85.297,-119.508,0.000
497.332,85.255,-120.715,0.000
461.626,86.282,-30.090,0.000
461.506,83.244,-11.172,0.000
424.642,81.967,15.755,0.000
461.806,82.110,-5.175,0.000
461.506,83.244,-11.172,0.000
388.136,79.094,-35.404,0.000
389.065,79.090,-3.517,0.000
402.544,79.917,-41.626,0.000
470.324,88.254,-66.339,0.000
462.044,81.346,-1.195,0.000
420.036,83.483,-42.136,0.000
399.628,79.461,-41.541,0.000
388.051,79.092,-38.302,0.000
511.345,78.454,-151.714,0.000
393.798,79.413,-41.371,0.000
424.642,81.967,15.755,0.000
462.895,77.716,19.644,0.000
498.077,76.567,-156.290,0.000
500.726,82.299,-127.628,0.000
473.256,82.889,-125.852,0.000
462.898,77.962,17.811,0.000
448.252,85.593,-38.920,0.000
481.718,88.306,-90.794,0.000
461.326,84.347,-17.342,0.000
471.938,88.337,-70.242,0.000
448.138,78.415,14.529,0.000
501.840,75.957,-155.237,0.000
388.389,79.091,-26.707,0.000
507.623,82.283,-143.127,0.000
445.201,78.471,14.683,0.000
465.366,87.862,-51.976,0.000
415.895,83.491,16.010,0.000
509.868,82.173,-148.308,0.000
462.778,78.831,12.329,0.000
494.295,76.266,-157.348,0.000
488.373,85.377,-121.623,0.000
498.192,85.168,-122.433,0.000
387.967,79.027,-41.201,0.000
502.327,82.306,-131.039,0.000
469.546,88.206,-64.365,0.000
390.882,79.349,-41.286,0.000
456.686,86.599,-37.820,0.000
388.980,79.090,-6.416,0.000
412.980,82.918,16.095,0.000
396.713,79.410,-41.456,0.000
401.318,79.813,16.434,0.000
468.058,88.101,-60.367,0.000
462.778,78.831,12.329,0.000
479.867,88.389,-87.152,0.000
453.874,86.069,-38.187,0.000
476.239,88.442,-79.753,0.000
395.487,79.770,16.604,0.000
466.626,87.981,-56.141,0.000
461.306,84.698,-19.430,0.000
486.393,87.901,-99.763,0.000
461.306,84.698,-19.430,0.000
468.790,88.155,-62.374,0.000
498.192,85.168,-122.433,0.000
480.815,85.701,-123.737,0.000
499.706,85.644,-118.431,0.000
461.806,82.110,-5.175,0.000
512.078,75.396,-153.405,0.000
480.815,85.701,-123.737,0.000
418.811,83.470,15.925,0.000
436.390,78.733,15.142,0.000
431.385,83.815,-41.121,0.000
461.368,83.987,-15.270,0.000
407.149,80.425,16.264,0.000
462.898,77.962,17.811,0.000
494.688,85.774,-115.537,0.000
461.696,82.484,-7.185,0.000
459.497,86.872,-37.454,0.000
388.812,79.089,-12.213,0.000
389.572,79.096,13.876,0.000
411.290,82.973,-41.881,0.000
389.234,79.091,2.280,0.000
472.771,88.370,-72.170,0.000
461.429,83.619,-13.213,0.000
515.683,70.423,-161.749,0.000
499.903,82.477,-125.916,0.000
501.535,82.310,-129.335,0.000
462.838,78.522,14.213,0.000
