run,name,lap,toward_gate,observed_seconds,arrival_time,misses,recoveries
standalone-race-0-mistake-traffic,GOLD,0,4,8.760,39.840,0,0
standalone-race-0-mistake-traffic,BLUE,0,4,9.000,40.340,0,0
standalone-race-0-mistake-traffic,EMBER,0,4,9.000,41.340,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,4,8.760,41.600,0,0
standalone-race-0-mistake-traffic,GOLD,0,5,7.060,46.900,0,0
standalone-race-0-mistake-traffic,BLUE,0,5,7.560,47.900,0,0
standalone-race-0-mistake-traffic,EMBER,0,5,7.600,48.940,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,5,7.840,49.440,0,0
standalone-race-0-mistake-traffic,GOLD,0,6,9.360,56.260,0,0
standalone-race-0-mistake-traffic,BLUE,0,6,10.120,58.020,0,0
standalone-race-0-mistake-traffic,EMBER,0,6,10.580,59.520,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,6,10.600,60.040,0,0
standalone-race-0-mistake-traffic,GOLD,0,7,9.280,65.540,0,0
standalone-race-0-mistake-traffic,BLUE,0,7,10.020,68.040,0,0
standalone-race-0-mistake-traffic,EMBER,0,7,9.520,69.040,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,7,12.460,72.500,0,0
standalone-race-0-mistake-traffic,GOLD,0,8,8.460,74.000,0,0
standalone-race-0-mistake-traffic,EMBER,0,8,8.720,77.760,0,0
standalone-race-0-mistake-traffic,BLUE,0,8,9.720,77.760,0,0
standalone-race-0-mistake-traffic,GOLD,0,9,7.760,81.760,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,8,10.000,82.500,0,0
standalone-race-0-mistake-traffic,EMBER,0,9,8.500,86.260,0,0
standalone-race-0-mistake-traffic,BLUE,0,9,8.500,86.260,0,0
standalone-race-0-mistake-traffic,GOLD,0,10,6.760,88.520,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,9,8.260,90.760,0,0
standalone-race-0-mistake-traffic,EMBER,0,10,7.260,93.520,0,0
standalone-race-0-mistake-traffic,BLUE,0,10,7.260,93.520,0,0
standalone-race-0-mistake-traffic,GOLD,0,11,6.260,94.780,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,10,7.520,98.280,0,0
standalone-race-0-mistake-traffic,EMBER,0,11,7.260,100.780,0,0
standalone-race-0-mistake-traffic,BLUE,0,11,7.500,101.020,0,0
standalone-race-0-mistake-traffic,GOLD,0,12,8.500,103.280,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,11,6.540,104.820,0,0
