time,name,profile,lap,nextGate,speed,target,throttle,brake,grounded,recoveries,misses,x,y,z,roadDistance
8.500,GOLD,moto,0,1,30.281,31.000,0.360,0.000,4,0,0,318.945,43.477,407.410,0.616
8.500,BLUE,atv,0,1,30.176,31.000,0.412,0.000,4,0,0,316.915,45.421,400.380,1.782
8.740,YOU reference pilot,original,0,1,29.839,31.000,0.581,0.000,4,0,0,316.998,37.011,431.117,1.781
8.740,EMBER,tourer,0,1,29.857,31.000,0.572,0.000,4,0,0,316.927,39.543,422.071,1.807
8.740,GOLD,moto,0,1,30.284,31.000,0.358,0.000,4,0,0,319.888,45.401,400.464,1.365
8.740,BLUE,atv,0,1,30.179,31.000,0.411,0.000,4,0,0,316.962,47.338,393.396,1.787
9.000,YOU reference pilot,original,0,1,29.849,31.000,0.576,0.000,4,0,0,316.935,39.103,423.645,1.805
9.000,EMBER,tourer,0,1,29.866,31.000,0.567,0.000,4,0,0,316.898,41.632,414.593,1.819
9.000,GOLD,moto,0,1,30.284,31.000,0.358,0.000,4,0,0,320.697,47.478,392.912,2.083
9.000,BLUE,atv,0,1,30.184,31.000,0.408,0.000,4,0,0,317.049,49.392,385.822,1.792
9.240,YOU reference pilot,original,0,1,29.853,31.000,0.574,0.000,4,0,0,316.895,41.032,416.745,1.824
9.240,EMBER,tourer,0,1,29.837,31.000,0.580,0.000,4,0,0,316.968,43.554,407.689,1.757
9.240,GOLD,moto,0,1,30.229,31.000,0.385,0.000,4,0,0,321.054,49.382,385.912,2.348
9.240,BLUE,atv,0,1,30.191,31.000,0.405,0.000,4,0,0,317.163,51.262,378.822,1.803
9.500,YOU reference pilot,original,0,1,29.856,31.000,0.572,0.000,4,0,0,316.877,43.116,409.267,1.839
9.500,EMBER,tourer,0,1,29.816,31.000,0.594,0.000,4,0,0,317.551,45.616,400.235,1.259
9.500,GOLD,moto,0,1,30.252,31.000,0.377,0.000,4,0,0,320.651,51.413,378.327,1.828
9.500,BLUE,atv,0,1,30.200,31.000,0.400,0.000,4,0,0,317.312,53.252,371.228,1.830
9.740,YOU reference pilot,original,0,1,29.831,31.000,0.583,0.000,4,0,0,316.939,45.029,402.363,1.799
9.740,EMBER,tourer,0,1,29.849,31.000,0.577,0.000,4,0,0,318.528,47.495,393.394,0.678
9.740,GOLD,moto,0,1,30.271,31.000,0.365,0.000,4,0,0,320.032,53.249,371.323,1.099
9.740,BLUE,atv,0,1,30.205,31.000,0.397,0.000,4,0,0,317.461,55.080,364.215,1.825
10.000,YOU reference pilot,original,0,1,29.805,31.000,0.600,0.000,4,0,0,317.501,47.080,394.907,1.335
10.000,EMBER,tourer,0,1,29.876,31.000,0.563,0.000,4,0,0,319.726,49.508,385.990,1.170
10.000,GOLD,moto,0,1,30.275,31.000,0.364,0.000,4,0,0,319.881,55.230,363.707,0.819
10.000,BLUE,atv,0,1,30.204,31.000,0.398,0.000,4,0,0,317.621,57.106,356.630,1.803
10.240,YOU reference pilot,original,0,1,29.837,31.000,0.583,0.000,4,0,0,318.480,48.944,388.065,0.711
10.240,EMBER,tourer,0,1,29.881,31.000,0.560,0.000,4,0,0,320.712,51.350,379.128,1.946
10.240,GOLD,moto,0,1,30.292,31.000,0.355,0.000,4,0,0,320.186,57.100,356.691,0.964
10.240,BLUE,atv,0,1,30.200,31.000,0.400,0.000,4,0,0,317.763,58.994,349.634,1.782
10.500,YOU reference pilot,original,0,1,29.866,31.000,0.568,0.000,4,0,0,319.696,50.937,380.661,1.075
10.500,EMBER,tourer,0,1,29.885,31.000,0.558,0.000,4,0,0,321.504,53.321,371.652,2.535
10.500,GOLD,moto,0,1,30.302,31.000,0.349,0.000,4,0,0,320.745,59.149,349.105,1.358
10.500,BLUE,atv,0,1,30.197,31.000,0.401,0.000,4,0,0,317.915,61.037,342.054,1.763
10.740,YOU reference pilot,original,0,1,29.873,31.000,0.564,0.000,4,0,0,320.703,52.756,373.798,1.824
10.740,EMBER,tourer,0,1,29.892,31.000,0.555,0.000,4,0,0,321.956,55.130,364.725,2.823
10.740,GOLD,moto,0,1,30.304,31.000,0.348,0.000,4,0,0,321.298,61.039,342.104,1.768
10.740,BLUE,atv,0,1,30.197,31.000,0.402,0.000,4,0,0,318.061,62.915,335.056,1.754
11.000,YOU reference pilot,original,0,1,29.877,31.000,0.562,0.000,4,0,0,321.519,54.708,366.323,2.432
11.000,EMBER,tourer,0,1,29.898,31.000,0.551,0.000,4,0,0,322.190,57.127,357.218,2.916
11.000,GOLD,moto,0,1,30.300,31.000,0.350,0.000,4,0,0,321.828,63.081,334.513,2.137
11.000,BLUE,atv,0,1,30.198,31.000,0.401,0.000,4,0,0,318.240,64.937,327.471,1.754
11.240,YOU reference pilot,original,0,1,29.878,31.000,0.561,0.000,4,0,0,321.993,56.539,359.406,2.761
11.240,EMBER,tourer,0,1,29.902,31.000,0.549,0.000,4,0,0,322.249,58.993,350.289,2.861
11.240,GOLD,moto,0,1,30.256,31.000,0.372,0.000,4,0,0,321.957,64.956,327.494,2.102
11.240,BLUE,atv,0,1,30.202,31.000,0.399,0.000,4,0,0,318.438,66.782,320.464,1.761
11.500,YOU reference pilot,original,0,1,29.881,31.000,0.560,0.000,4,0,0,322.251,58.556,351.909,2.889
11.500,EMBER,tourer,0,1,29.903,31.000,0.549,0.000,4,0,0,322.233,61.016,342.782,2.721
11.500,GOLD,moto,0,1,30.287,31.000,0.358,0.000,4,0,0,321.529,66.959,319.892,1.481
11.500,BLUE,atv,0,1,30.209,31.000,0.396,0.000,4,0,0,318.709,68.750,312.864,1.774
11.740,YOU reference pilot,original,0,1,29.884,31.000,0.558,0.000,4,0,0,322.333,60.423,344.985,2.856
11.740,EMBER,tourer,0,1,29.903,31.000,0.548,0.000,4,0,0,322.214,62.879,335.852,2.575
11.740,GOLD,moto,0,1,30.276,31.000,0.362,0.000,4,0,0,321.371,68.782,312.857,1.098
11.740,BLUE,atv,0,1,30.218,31.000,0.392,0.000,4,0,0,319.029,70.528,305.840,1.788
12.000,YOU reference pilot,original,0,1,29.886,31.000,0.557,0.000,4,0,0,322.343,62.442,337.482,2.732
12.000,EMBER,tourer,0,1,29.904,31.000,0.548,0.000,4,0,0,322.244,64.887,328.340,2.440
