time,name,profile,lap,nextGate,speed,target,throttle,brake,grounded,recoveries,misses
9.940,BLUE,atv,0,0,-0.204,0.000,0.000,0.000,4,0,0
10.200,YOU reference pilot,original,0,0,-0.626,0.000,0.000,0.450,4,0,0
10.200,EMBER,tourer,0,0,-0.644,0.000,0.000,0.450,4,0,0
10.200,GOLD,moto,0,1,37.052,38.000,0.475,0.000,4,0,0
10.200,BLUE,atv,0,0,0.175,0.000,0.000,0.000,4,0,0
10.480,YOU reference pilot,original,0,0,-0.626,0.000,0.000,0.450,4,0,0
10.480,EMBER,tourer,0,0,-0.644,0.000,0.000,0.450,4,0,0
10.480,GOLD,moto,0,1,37.060,38.000,0.471,0.000,4,0,0
10.480,BLUE,atv,0,0,-0.052,0.000,0.000,0.000,4,0,0
10.740,YOU reference pilot,original,0,0,-0.625,0.000,0.000,0.450,4,0,0
10.740,EMBER,tourer,0,0,-0.644,0.000,0.000,0.450,4,0,0
10.740,GOLD,moto,0,1,37.062,38.000,0.470,0.000,4,0,0
10.740,BLUE,atv,0,0,0.131,0.000,0.000,0.000,4,0,0
11.000,YOU reference pilot,original,0,0,-0.625,0.000,0.000,0.450,4,0,0
11.000,EMBER,tourer,0,0,-0.644,0.000,0.000,0.450,4,0,0
11.000,GOLD,moto,0,1,37.074,38.000,0.464,0.000,4,0,0
11.000,BLUE,atv,0,0,-0.417,0.000,0.000,0.450,4,0,0
11.280,YOU reference pilot,original,0,0,-0.251,0.000,0.000,0.000,4,0,0
11.280,EMBER,tourer,0,0,-0.027,0.000,0.000,0.000,4,0,0
11.280,GOLD,moto,0,1,37.100,38.000,0.452,0.000,4,0,0
11.280,BLUE,atv,0,0,-0.590,38.000,1.000,0.000,4,0,0
11.540,YOU reference pilot,original,0,0,-0.218,0.000,0.000,0.000,4,0,0
11.540,EMBER,tourer,0,0,0.026,38.000,1.000,0.000,4,0,0
11.540,GOLD,moto,0,2,37.132,38.000,0.435,0.000,4,0,0
11.540,BLUE,atv,0,0,2.480,0.000,0.000,0.729,4,0,0
11.800,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
11.800,EMBER,tourer,0,0,0.074,38.000,1.000,0.000,4,0,0
11.800,GOLD,moto,0,2,38.043,58.276,1.000,0.000,4,0,0
11.800,BLUE,atv,0,0,0.092,0.000,0.000,0.000,4,0,0
12.080,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
12.080,EMBER,tourer,0,0,0.051,0.000,0.000,0.000,4,0,0
12.080,GOLD,moto,0,2,39.205,56.026,1.000,0.000,4,0,0
12.080,BLUE,atv,0,0,-0.226,0.000,0.000,0.000,4,0,0
12.340,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
12.340,EMBER,tourer,0,0,0.112,38.000,1.000,0.000,4,0,0
12.340,GOLD,moto,0,2,40.268,53.079,1.000,0.000,2,0,0
12.340,BLUE,atv,0,0,-0.254,0.000,0.000,0.000,4,0,0
12.600,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
12.600,EMBER,tourer,0,0,0.135,38.000,1.000,0.000,4,0,0
12.600,GOLD,moto,0,2,41.350,50.016,1.000,0.000,4,0,0
12.600,BLUE,atv,0,0,-0.257,0.000,0.000,0.000,4,0,0
12.880,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
12.880,EMBER,tourer,0,0,0.129,38.000,1.000,0.000,4,0,0
12.880,GOLD,moto,0,2,42.367,42.498,0.055,0.000,2,0,0
12.880,BLUE,atv,0,0,-0.257,0.000,0.000,0.000,4,0,0
13.140,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
13.140,EMBER,tourer,0,0,-0.104,0.000,0.000,0.000,4,0,0
13.140,GOLD,moto,0,2,39.343,37.423,0.000,0.561,4,0,0
13.140,BLUE,atv,0,0,0.062,0.000,0.000,0.000,4,0,0
13.400,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
13.400,EMBER,tourer,0,0,-0.080,0.000,0.000,0.000,4,0,0
13.400,GOLD,moto,0,2,34.087,32.934,0.000,0.340,4,0,0
13.400,BLUE,atv,0,0,-0.223,0.000,0.000,0.000,4,0,0
13.680,YOU reference pilot,original,0,0,-0.215,0.000,0.000,0.000,4,0,0
13.680,EMBER,tourer,0,0,-0.096,0.000,0.000,0.000,4,0,0
13.680,GOLD,moto,0,2,30.561,30.125,0.000,0.129,4,0,0
13.680,BLUE,atv,0,0,0.104,0.000,0.000,0.000,4,0,0
13.940,YOU reference pilot,original,0,0,-0.214,0.000,0.000,0.000,4,0,0
13.940,EMBER,tourer,0,0,-0.054,0.000,0.000,0.000,4,0,0
13.940,GOLD,moto,0,2,31.084,35.766,1.000,0.000,4,0,0
13.940,BLUE,atv,0,0,0.041,0.000,0.000,0.000,4,0,0
14.200,YOU reference pilot,original,0,0,-0.214,0.000,0.000,0.000,4,0,0
14.200,EMBER,tourer,0,0,-0.026,0.000,0.000,0.000,4,0,0
14.200,GOLD,moto,0,2,31.924,48.765,1.000,0.000,0,0,0
14.200,BLUE,atv,0,0,0.211,0.000,0.000,0.000,4,0,0
14.480,YOU reference pilot,original,0,0,-0.214,0.000,0.000,0.000,4,0,0
14.480,EMBER,tourer,0,0,-0.026,0.000,0.000,0.000,4,0,0
14.480,GOLD,moto,0,2,31.054,44.986,1.000,0.000,0,0,0
14.480,BLUE,atv,0,0,-0.144,0.000,0.000,0.000,4,0,0
14.740,YOU reference pilot,original,0,0,-0.214,0.000,0.000,0.000,4,0,0
14.740,EMBER,tourer,0,0,0.013,0.000,0.000,0.000,4,0,0
14.740,GOLD,moto,0,2,32.174,40.860,1.000,0.000,4,0,0
14.740,BLUE,atv,0,0,-0.113,0.000,0.000,0.000,4,0,0
15.000,YOU reference pilot,original,0,0,-0.034,0.000,0.000,0.000,0,1,0
15.000,EMBER,tourer,0,0,-0.036,0.000,0.000,0.000,0,1,0
15.000,GOLD,moto,0,2,34.332,37.002,1.000,0.000,4,0,0
15.000,BLUE,atv,0,0,-0.175,0.000,0.000,0.000,4,0,0
15.280,YOU reference pilot,original,0,0,0.311,0.000,0.000,0.000,4,1,0
15.280,EMBER,tourer,0,0,-0.053,0.000,0.000,0.000,4,1,0
15.280,GOLD,moto,0,2,34.693,39.280,1.000,0.000,4,0,0
15.280,BLUE,atv,0,0,0.589,38.000,1.000,0.000,4,0,0
15.540,YOU reference pilot,original,0,0,-0.157,0.000,0.000,0.000,4,1,0
15.540,EMBER,tourer,0,0,-0.212,0.000,0.000,0.000,4,1,0
15.540,GOLD,moto,0,2,36.303,58.276,1.000,0.000,4,0,0
15.540,BLUE,atv,0,0,-0.167,0.000,0.000,0.000,4,0,0
15.800,YOU reference pilot,original,0,0,-0.208,0.000,0.000,0.000,4,1,0
15.800,EMBER,tourer,0,0,-0.229,0.000,0.000,0.000,4,1,0
15.800,GOLD,moto,0,2,37.474,58.276,1.000,0.000,4,0,0
15.800,BLUE,atv,0,0,0.053,38.000,1.000,0.000,4,0,0
16.080,YOU reference pilot,original,0,0,-0.213,0.000,0.000,0.000,4,1,0
16.080,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
16.080,GOLD,moto,0,2,38.556,58.276,1.000,0.000,4,0,0
16.080,BLUE,atv,0,0,-0.029,0.000,0.000,0.000,4,0,0
16.340,YOU reference pilot,original,0,0,-0.214,0.000,0.000,0.000,4,1,0
16.340,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
16.340,GOLD,moto,0,2,39.552,58.276,1.000,0.000,4,0,0
16.340,BLUE,atv,0,0,0.288,0.000,0.000,0.000,4,0,0
16.600,YOU reference pilot,original,0,0,-0.214,0.000,0.000,0.000,4,1,0
16.600,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
16.600,GOLD,moto,0,2,40.558,58.276,1.000,0.000,4,0,0
16.600,BLUE,atv,0,0,-0.199,0.000,0.000,0.000,4,0,0
16.880,YOU reference pilot,original,0,0,-0.213,0.000,0.000,0.000,4,1,0
16.880,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
16.880,GOLD,moto,0,2,41.565,58.276,1.000,0.000,4,0,0
16.880,BLUE,atv,0,0,-1.214,38.000,0.000,0.450,4,0,0
17.140,YOU reference pilot,original,0,0,-0.213,0.000,0.000,0.000,4,1,0
17.140,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
17.140,GOLD,moto,0,2,42.425,58.276,1.000,0.000,4,0,0
17.140,BLUE,atv,0,0,1.860,38.000,1.000,0.000,4,0,0
17.400,YOU reference pilot,original,0,0,-0.213,0.000,0.000,0.000,4,1,0
17.400,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
17.400,GOLD,moto,0,2,43.250,58.244,1.000,0.000,2,0,0
17.400,BLUE,atv,0,0,0.380,0.000,0.000,0.000,4,0,0
17.680,YOU reference pilot,original,0,0,-0.213,0.000,0.000,0.000,4,1,0
17.680,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
17.680,GOLD,moto,0,3,43.157,51.806,1.000,0.000,0,0,0
17.680,BLUE,atv,0,0,-0.200,0.000,0.000,0.000,4,0,0
17.940,YOU reference pilot,original,0,0,-0.213,0.000,0.000,0.000,4,1,0
17.940,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
17.940,GOLD,moto,0,3,42.799,48.266,1.000,0.000,0,0,0
17.940,BLUE,atv,0,0,-0.251,0.000,0.000,0.000,4,0,0
18.200,YOU reference pilot,original,0,0,-0.212,0.000,0.000,0.000,4,1,0
18.200,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
18.200,GOLD,moto,0,3,42.546,40.263,0.000,0.575,0,0,0
18.200,BLUE,atv,0,0,-0.257,0.000,0.000,0.000,4,0,0
18.480,YOU reference pilot,original,0,0,-0.212,0.000,0.000,0.000,4,1,0
18.480,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
18.480,GOLD,moto,0,3,42.372,38.000,0.000,1.000,0,0,0
18.480,BLUE,atv,0,0,-0.257,0.000,0.000,0.000,4,0,0
18.740,YOU reference pilot,original,0,0,-0.212,0.000,0.000,0.000,4,1,0
18.740,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
18.740,GOLD,moto,0,3,42.251,58.276,1.000,0.000,0,0,0
18.740,BLUE,atv,0,0,0.045,0.000,0.000,0.000,4,0,0
19.000,YOU reference pilot,original,0,0,-0.212,0.000,0.000,0.000,4,1,0
19.000,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
19.000,GOLD,moto,0,3,42.111,10.000,0.000,1.000,0,0,0
19.000,BLUE,atv,0,0,-0.225,0.000,0.000,0.000,4,0,0
19.280,YOU reference pilot,original,0,0,-0.211,0.000,0.000,0.000,4,1,0
19.280,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
19.280,GOLD,moto,0,3,40.883,10.000,0.000,1.000,4,0,0
19.280,BLUE,atv,0,0,0.138,0.000,0.000,0.000,4,0,0
19.540,YOU reference pilot,original,0,0,-0.211,0.000,0.000,0.000,4,1,0
19.540,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
19.540,GOLD,moto,0,3,32.044,10.000,0.000,1.000,4,0,0
19.540,BLUE,atv,0,0,-0.071,0.000,0.000,0.000,4,0,0
19.800,YOU reference pilot,original,0,0,-0.211,0.000,0.000,0.000,4,1,0
19.800,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
19.800,GOLD,moto,0,3,28.320,48.266,1.000,0.000,4,0,0
19.800,BLUE,atv,0,0,-0.237,0.000,0.000,0.000,4,0,0
20.080,YOU reference pilot,original,0,0,-0.411,0.000,0.000,0.450,4,1,0
20.080,EMBER,tourer,0,0,-0.432,0.000,0.000,0.450,4,1,0
20.080,GOLD,moto,0,3,28.662,44.445,1.000,0.000,4,0,0
20.080,BLUE,atv,0,0,0.345,0.000,0.000,0.000,4,0,0
20.340,YOU reference pilot,original,0,0,-0.596,0.000,0.000,0.450,4,1,0
20.340,EMBER,tourer,0,0,-0.617,0.000,0.000,0.450,4,1,0
20.340,GOLD,moto,0,3,24.504,40.263,1.000,0.000,4,0,0
20.340,BLUE,atv,0,0,-0.193,0.000,0.000,0.000,4,0,0
20.600,YOU reference pilot,original,0,0,-0.616,0.000,0.000,0.450,4,1,0
20.600,EMBER,tourer,0,0,-0.638,0.000,0.000,0.450,4,1,0
20.600,GOLD,moto,0,3,26.769,40.263,1.000,0.000,4,0,0
20.600,BLUE,atv,0,0,-0.034,0.000,0.000,0.000,4,0,0
20.880,YOU reference pilot,original,0,0,-0.618,0.000,0.000,0.450,4,1,0
20.880,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
20.880,GOLD,moto,0,3,28.924,38.000,1.000,0.000,4,0,0
20.880,BLUE,atv,0,0,-0.078,0.000,0.000,0.000,4,0,0
21.140,YOU reference pilot,original,0,0,-1.425,38.000,0.000,0.450,4,1,0
21.140,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
21.140,GOLD,moto,0,3,30.603,38.000,1.000,0.000,4,0,0
21.140,BLUE,atv,0,0,-0.238,0.000,0.000,0.000,4,0,0
21.400,YOU reference pilot,original,0,0,2.099,38.000,1.000,0.000,4,1,0
21.400,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
21.400,GOLD,moto,0,3,32.022,38.000,1.000,0.000,4,0,0
21.400,BLUE,atv,0,0,0.048,0.000,0.000,0.000,4,0,0
21.680,YOU reference pilot,original,0,0,0.292,0.000,0.000,0.000,4,1,0
21.680,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
21.680,GOLD,moto,0,3,33.420,51.619,1.000,0.000,4,0,0
21.680,BLUE,atv,0,0,0.205,0.000,0.000,0.000,4,0,0
21.940,YOU reference pilot,original,0,0,-0.155,0.000,0.000,0.000,4,1,0
21.940,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
21.940,GOLD,moto,0,3,34.670,48.663,1.000,0.000,4,0,0
21.940,BLUE,atv,0,0,0.316,0.000,0.000,0.000,4,0,0
22.200,YOU reference pilot,original,0,0,-0.203,0.000,0.000,0.000,4,1,0
22.200,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
22.200,GOLD,moto,0,3,35.951,48.337,1.000,0.000,2,0,0
22.200,BLUE,atv,0,0,-0.196,0.000,0.000,0.000,4,0,0
22.480,YOU reference pilot,original,0,0,-0.207,0.000,0.000,0.000,4,1,0
22.480,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
22.480,GOLD,moto,0,3,37.407,58.276,1.000,0.000,2,0,0
22.480,BLUE,atv,0,0,-0.610,38.000,0.000,0.450,4,0,0
22.740,YOU reference pilot,original,0,0,-0.208,0.000,0.000,0.000,4,1,0
22.740,EMBER,tourer,0,0,-0.640,0.000,0.000,0.450,4,1,0
22.740,GOLD,moto,0,3,37.963,58.276,1.000,0.000,4,0,0
22.740,BLUE,atv,0,0,-0.283,38.000,1.000,0.000,4,0,0
23.000,YOU reference pilot,original,0,0,-0.207,0.000,0.000,0.000,4,1,0
23.000,EMBER,tourer,0,0,-0.639,0.000,0.000,0.450,4,1,0
23.000,GOLD,moto,0,3,39.354,58.276,1.000,0.000,4,0,0
23.000,BLUE,atv,0,0,2.109,0.000,0.000,0.621,4,0,0
23.280,YOU reference pilot,original,0,0,-0.207,0.000,0.000,0.000,4,1,0
23.280,EMBER,tourer,0,0,-0.267,0.000,0.000,0.000,4,1,0
23.280,GOLD,moto,0,3,40.764,58.276,1.000,0.000,4,0,0
23.280,BLUE,atv,0,0,-0.009,0.000,0.000,0.000,4,0,0
23.540,YOU reference pilot,original,0,0,0.100,0.000,0.000,0.000,4,1,0
23.540,EMBER,tourer,0,0,-0.234,0.000,0.000,0.000,4,1,0
23.540,GOLD,moto,0,3,42.014,55.119,1.000,0.000,4,0,0
23.540,BLUE,atv,0,0,-0.231,0.000,0.000,0.000,4,0,0
23.800,YOU reference pilot,original,0,0,0.049,0.000,0.000,0.000,4,1,0
23.800,EMBER,tourer,0,0,-0.231,0.000,0.000,0.000,4,1,0
23.800,GOLD,moto,0,3,43.251,51.806,1.000,0.000,4,0,0
23.800,BLUE,atv,0,0,-0.255,0.000,0.000,0.000,4,0,0
24.080,YOU reference pilot,original,0,0,-0.124,0.000,0.000,0.000,4,1,0
24.080,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
24.080,GOLD,moto,0,3,43.998,44.445,0.233,0.000,2,0,0
24.080,BLUE,atv,0,0,-0.257,0.000,0.000,0.000,4,0,0
24.340,YOU reference pilot,original,0,0,-0.019,0.000,0.000,0.000,4,1,0
24.340,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
24.340,GOLD,moto,0,4,42.131,40.263,0.000,0.538,2,0,0
24.340,BLUE,atv,0,0,-0.257,0.000,0.000,0.000,4,0,0
24.600,YOU reference pilot,original,0,0,-0.105,0.000,0.000,0.000,4,1,0
24.600,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
24.600,GOLD,moto,0,4,38.987,38.000,0.000,0.280,2,0,0
24.600,BLUE,atv,0,0,-0.092,0.000,0.000,0.000,4,0,0
24.880,YOU reference pilot,original,0,0,-0.032,0.000,0.000,0.000,4,1,0
24.880,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
24.880,GOLD,moto,0,4,38.953,38.000,0.000,0.232,0,0,0
24.880,BLUE,atv,0,0,0.012,0.000,0.000,0.000,4,0,0
25.140,YOU reference pilot,original,0,0,0.154,38.000,1.000,0.000,4,1,0
25.140,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
25.140,GOLD,moto,0,4,39.230,38.000,0.000,0.299,0,0,0
25.140,BLUE,atv,0,0,0.128,38.000,1.000,0.000,4,0,0
25.400,YOU reference pilot,original,0,0,-0.031,0.000,0.000,0.000,4,1,0
25.400,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
25.400,GOLD,moto,0,4,39.648,38.000,0.000,0.405,0,0,0
