time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries
14.28647,691.9213,79.73486,-95.08466,-0.4877209,4,0.9942184,0,0.45,1,0,0
14.40647,691.91,79.73087,-95.02724,-0.4881377,4,0.994253,0,0.45,1,0,0
14.52647,691.8986,79.72691,-94.96983,-0.4882569,4,0.9943021,0,0.45,1,0,0
14.64647,691.887,79.723,-94.91241,-0.4885494,4,0.9943556,0,0.45,1,0,0
14.76647,691.8752,79.71912,-94.855,-0.488223,4,0.9944182,0,0.45,1,0,0
14.88647,691.8638,79.71509,-94.7977,-0.4876572,4,0.9945826,0,0.45,1,0,0
15.00647,691.8523,79.71114,-94.74055,-0.4868176,4,0.9947898,0,0.45,1,0,0
15.12647,691.8407,79.70737,-94.68349,-0.4867373,4,0.9949695,0,0.45,1,0,0
15.24647,691.8287,79.70375,-94.62641,-0.4870572,4,0.9950924,0,0.45,1,0,0
15.36647,691.8165,79.70019,-94.5694,-0.4868463,4,0.9951884,0,0.45,1,0,0
15.48647,691.8041,79.69667,-94.5125,-0.4861786,4,0.9952703,0,0.45,1,0,0
15.60647,691.7917,79.69319,-94.45571,-0.4851419,4,0.9953837,0,0.45,1,0,0
15.72647,691.7795,79.68968,-94.39885,-0.485235,4,0.9955708,0,0.45,1,0,0
15.84647,691.7674,79.68623,-94.34209,-0.4837809,4,0.9957616,0,0.45,1,0,0
15.96647,691.7552,79.68285,-94.28555,-0.482291,4,0.9959197,0,0.45,1,0,0
16.08647,691.7427,79.67947,-94.22928,-0.4808564,4,0.9960244,0,0.45,1,0,0
16.20647,691.7298,79.6759,-94.17305,-0.4813667,4,0.9960752,0,0.45,1,0,0
16.32647,691.7166,79.6722,-94.11679,-0.4808368,4,0.9960605,0,0.45,1,0,0
16.44647,691.7032,79.66843,-94.06068,-0.479965,4,0.9960268,0,0.45,1,0,0
16.56647,691.6896,79.66463,-94.00475,-0.4794293,4,0.9960058,0,0.45,1,0,0
16.68647,691.6793,79.66194,-93.96905,-0.22293,4,0.9959774,0,0,1,0,0
16.80647,691.6714,79.66026,-93.95093,-0.130094,4,0.9958895,0,0,1,0,0
16.92647,691.6639,79.65898,-93.93921,-0.09604886,4,0.995664,0,0,1,0,0
17.04647,691.6568,79.65785,-93.92993,-0.08289544,4,0.9954328,0,0,1,0,0
17.16647,691.6499,79.65679,-93.92155,-0.07827976,4,0.9952574,0,0,1,0,0
17.28647,691.6431,79.65571,-93.91348,-0.07650553,4,0.9951291,0,0,1,0,0
17.40647,691.6363,79.65464,-93.90551,-0.07593408,4,0.9950506,0,0,1,0,0
17.52647,691.6295,79.65356,-93.89758,-0.07571921,4,0.9949863,0,0,1,0,0
17.64647,691.6227,79.65253,-93.88963,-0.07560999,4,0.9949434,0,0,1,0,0
17.76647,691.616,79.65148,-93.88171,-0.07554261,4,0.9949053,0,0,1,0,0
17.88647,691.6093,79.65042,-93.87381,-0.07553612,4,0.9948671,0,0,1,0,0
18.00647,691.6037,79.64979,-93.87276,0.2722985,4,0.9948263,1,0,1,0,0
18.12647,694.2451,79.92516,-93.6553,2.150745,4,0.9948092,1,0,1,0,1
18.24647,693.9924,79.88516,-93.96903,4.211208,4,0.9948059,1,0,1,0,1
18.36647,693.617,79.85903,-94.49234,6.162866,4,0.99477,1,0,1,0,1
18.48647,693.1791,79.85189,-95.24564,7.981136,4,0.9947281,1,0,1,0,1
18.60647,692.7654,79.86334,-96.23737,9.414652,4,0.9947173,0.579174,0,1,0,1
18.72647,692.4875,79.89356,-97.37011,9.732704,4,0.9946867,0.2296715,0,1,0,1
18.84647,692.4092,79.9426,-98.5484,9.767519,4,0.9946257,0.186467,0,1,0,1
18.96647,692.5482,80.01112,-99.72102,9.760653,4,0.9945581,0.1903145,0,1,0,1
19.08647,692.9026,80.09726,-100.8451,9.756389,4,0.9945359,0.1948456,0,1,0,1
19.20647,693.4566,80.19793,-101.8834,9.761815,4,0.9945716,0.19179,0,1,0,1
19.32647,694.184,80.30877,-102.8075,9.775648,4,0.9946464,0.1817047,0,1,0,1
19.44647,695.0529,80.4253,-103.5999,9.795161,4,0.9947445,0.1666901,0,1,0,1
19.56647,696.0353,80.54446,-104.257,10.07435,4,0.9948398,1,0,1,0,1
19.68647,697.2181,80.67656,-104.8313,11.61834,4,0.9949161,1,0,1,0,1
19.80647,698.6295,80.82462,-105.3276,13.12675,4,0.9949729,1,0,1,0,1
19.92647,700.253,80.98682,-105.7329,14.60331,4,0.9950089,1,0,1,0,1
20.04647,702.0726,81.16214,-106.0488,16.049,4,0.995024,1,0,1,0,1
20.16647,704.0747,81.35059,-106.2918,17.45947,4,0.9950184,1,0,1,0,1
20.28647,706.2476,81.55317,-106.4904,18.82718,4,0.9949947,1,0,1,0,1
20.40647,708.5815,81.77149,-106.6805,20.14461,4,0.9949455,1,0,1,0,1
20.52647,711.067,82.00741,-106.9006,21.40677,4,0.9948758,1,0,1,0,1
20.64647,713.6931,82.2627,-107.1874,22.61231,4,0.9947786,1,0,1,0,1
20.76647,716.4476,82.53899,-107.5728,23.76337,4,0.9946511,1,0,2,0,1
20.88647,719.3176,82.83749,-108.0802,24.86471,4,0.9944885,1,0,2,0,1
21.00647,722.2661,83.15662,-108.7177,25.47319,4,0.9942908,0.4498856,0,2,0,1
21.12647,725.2264,83.49074,-109.4718,25.67227,4,0.994055,0.2601975,0,2,0,1
21.24647,728.0055,83.81776,-110.273,22.82399,4,0.9937711,0,1,2,0,1
21.36647,730.4151,84.11447,-111.0358,20.33511,4,0.9934658,0,0.4715486,2,0,1
21.48647,732.6273,84.39803,-111.7871,19.22752,4,0.9931416,0,0.1783657,2,0,1
21.60647,734.6524,84.66817,-112.5067,16.70151,4,0.9918634,0,1,2,0,1
21.72647,736.2559,85.03123,-113.0664,14.00397,4,0.9536886,0,0.3880734,2,0,1
21.84647,737.6628,85.53152,-113.5836,12.81405,4,0.9412143,0,0,2,0,1
21.96647,738.9227,86.11726,-114.09,12.31029,4,0.9164092,0.1826553,0,2,0,1
22.08647,740.1902,86.64524,-114.6566,12.19201,2,0.9383845,0.2291344,0,2,0,1
22.20647,741.4681,87.05616,-115.2813,11.9765,0,0.9596841,0.7096252,0,2,0,1
