seconds,x,y,z,speed,station,lateral,up,wheels
1.499999,812.0282,98.31645,-144.5344,6.902677,1554.676,0,0.999925,4
1.52,812.0782,98.31805,-144.4054,6.916117,1554.814,0,0.9999256,4
1.539999,812.1285,98.31966,-144.2763,6.926987,1554.953,0,0.9999263,4
1.559999,812.1785,98.32124,-144.1483,6.873461,1555.09,0,0.9999268,4
1.579999,812.2288,98.32285,-144.0199,6.892553,1555.228,0,0.9999275,4
1.599999,812.2793,98.32443,-143.8913,6.907985,1555.366,0,0.9999284,4
1.619999,812.3301,98.32602,-143.7625,6.920464,1555.504,0,0.9999292,4
1.639999,812.3806,98.32758,-143.6348,6.868302,1555.642,0,0.9999301,4
1.659999,812.4313,98.32913,-143.5067,6.888444,1555.78,0,0.999931,4
1.679999,812.4824,98.33067,-143.3783,6.904727,1555.918,0,0.999932,4
1.7,812.5336,98.33218,-143.2498,6.917896,1556.056,0,0.9999328,4
1.719999,812.5847,98.33368,-143.1223,6.866313,1556.194,0,0.9999336,4
1.74,812.6359,98.33517,-142.9945,6.8869,1556.331,0,0.9999343,4
1.759999,812.6874,98.33665,-142.8664,6.903537,1556.469,0,0.9999349,4
1.78,812.7392,98.33814,-142.7381,6.916986,1556.607,0,0.9999354,4
1.8,812.7906,98.33961,-142.6107,6.865632,1556.746,0,0.9999359,4
1.819999,812.8424,98.34109,-142.4831,6.88639,1556.883,0,0.9999364,4
1.839999,812.8944,98.34258,-142.3552,6.903163,1557.02,0,0.999937,4
1.86,812.9467,98.34406,-142.2271,6.916723,1557.158,0,0.9999377,4
1.88,812.9986,98.34551,-142.1,6.865464,1557.297,0,0.9999384,4
1.899999,813.0508,98.34696,-141.9725,6.886301,1557.434,0,0.9999391,4
1.919999,813.1032,98.3484,-141.8448,6.903142,1557.572,0,0.9999399,4
1.94,813.1559,98.34984,-141.7168,6.916759,1557.71,0,0.9999406,4
1.96,813.2083,98.35125,-141.5899,6.865546,1557.848,0,0.9999413,4
1.979999,813.2609,98.35265,-141.4626,6.886421,1557.986,0,0.9999418,4
1.999999,813.3137,98.35406,-141.3351,6.903289,1558.123,0,0.9999423,4
2.02,813.3668,98.35546,-141.2073,6.916923,1558.261,0,0.9999427,4
2.04,813.4196,98.35686,-141.0805,6.865717,1558.4,0,0.9999431,4
2.059999,813.4727,98.35826,-140.9534,6.886595,1558.537,0,0.9999436,4
2.079999,813.5259,98.35966,-140.826,6.903463,1558.675,0,0.999944,4
2.099999,813.5794,98.36107,-140.6984,6.917097,1558.813,0,0.9999446,4
2.12,813.6326,98.36245,-140.5718,6.865893,1558.951,0,0.9999452,4
2.139998,813.686,98.36383,-140.4449,6.886775,1559.088,0,0.9999458,4
2.159999,813.7396,98.3652,-140.3176,6.903652,1559.226,0,0.9999464,4
2.179999,813.7935,98.36657,-140.1902,6.917295,1559.364,0,0.999947,4
2.2,813.847,98.36791,-140.0637,6.866096,1559.502,0,0.9999475,4
2.219998,813.9008,98.36926,-139.9369,6.886985,1559.64,0,0.9999479,4
2.239999,813.9548,98.37059,-139.8099,6.903863,1559.777,0,0.9999483,4
2.259999,814.009,98.37193,-139.6826,6.917505,1559.916,0,0.9999487,4
2.28,814.0629,98.37325,-139.5563,6.866299,1560.054,0,0.999949,4
2.299998,814.117,98.37459,-139.4296,6.88718,1560.191,0,0.9999493,4
2.319999,814.1713,98.37592,-139.3027,6.904051,1560.329,0,0.9999498,4
2.339999,814.2259,98.37726,-139.1755,6.917686,1560.467,0,0.9999502,4
2.36,814.2801,98.37858,-139.0493,6.866477,1560.605,0,0.9999506,4
2.379998,814.3346,98.37989,-138.9228,6.887358,1560.743,0,0.9999511,4
2.399999,814.3893,98.3812,-138.796,6.904231,1560.881,0,0.9999516,4
2.419999,814.4442,98.38251,-138.6689,6.917869,1561.018,0,0.999952,4
2.44,814.4987,98.3838,-138.5429,6.86666,1561.157,0,0.9999524,4
2.459998,814.5534,98.38508,-138.4165,6.887543,1561.294,0,0.9999528,4
